,,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,-9999
256,Timo Baumgartl,de GER,DF,Stuttgart,de Bundesliga,21,1996,29,2610,90,85.3,29.0,29,,29,0,,0,1.59,33,29,+4,+0.14,+0.94,35.2,39.3,-4.1,-0.14,-0.33,Matches,bd7d2e6d
257,Julian Baumgartlinger,at AUT,MFDF,Leverkusen,de Bundesliga,29,1988,22,1393,63,45.5,15.5,17,,9,5,,9,2.14,32,12,+20,+1.29,+1.62,29.8,14.2,+15.6,+1.01,+0.84,Matches,69374ff5
258,Jon Bautista,es ESP,FWMF,Real Sociedad,es La Liga,22,1995,11,181,16,5.3,2.0,1,45,0,10,14,12,0.73,6,5,+1,+0.50,+0.33,3.3,3.9,-0.6,-0.30,-0.41,Matches,debc6b55
259,Paul Baysse,fr FRA,DF,Málaga,es La Liga,29,1988,15,1239,83,36.2,13.8,13,89,12,2,38,3,0.73,11,21,-10,-0.73,+0.39,14.0,22.8,-8.8,-0.64,-0.13,Matches,2515040a
260,Paul Baysse,fr FRA,DF,Bordeaux,fr Ligue 1,29,1988,8,566,71,16.5,6.3,6,89,5,2,16,5,1.38,3,5,-2,-0.32,-0.54,7.9,7.2,+0.7,+0.12,-0.10,Matches,2515040a
261,Noah Joel Sarenren Bazee,ng NGA,FWMF,Hannover 96,de Bundesliga,20,1996,7,118,17,3.9,1.3,0,,0,7,,2,1.14,3,3,0,0.00,+0.31,2.3,2.0,+0.3,+0.21,+0.55,Matches,fbbc8e15
262,Hervé Bazile,ht HAI,MFFW,Caen,fr Ligue 1,27,1990,19,876,46,25.6,9.7,10,67,1,9,23,3,1.00,7,12,-5,-0.51,+0.19,11.1,13.8,-2.7,-0.28,-0.19,Matches,7abfcbff
263,Riechedly Bazoer,nl NED,MF,Wolfsburg,de Bundesliga,20,1996,13,592,46,19.3,6.6,6,,2,7,,10,1.00,2,12,-10,-1.52,-1.45,5.0,8.6,-3.6,-0.55,-0.03,Matches,da59a197
264,Enrico Bearzotti,it ITA,DFFW,Hellas Verona,it Serie A,20,1996,6,410,68,12.0,4.6,4,,3,2,,31,0.17,3,11,-8,-1.76,-0.56,3.6,8.1,-4.5,-1.00,-0.02,Matches,c67836b8
265,Claudio Beauvue,gp GLP,FW,Leganés,es La Liga,29,1988,28,1672,60,48.9,18.6,17,85,9,11,21,4,0.93,13,25,-12,-0.65,-0.39,18.1,22.1,-4.0,-0.22,-0.03,Matches,8ca253a3
266,Claudio Beauvue,gp GLP,FWMF,Celta Vigo,es La Liga,29,1988,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,8ca253a3
267,Bebé,cv CPV,MFFW,Eibar,es La Liga,27,1990,9,365,41,10.7,4.1,3,74,1,6,24,10,1.00,6,6,0,0.00,+0.18,5.2,3.7,+1.6,+0.39,+0.54,Matches,d8712bf9
268,Ihlas Bebou,tg TOG,MFFW,Hannover 96,de Bundesliga,23,1994,30,2140,71,69.9,23.8,20,,12,10,,0,1.10,38,37,+1,+0.04,+1.12,37.0,34.4,+2.5,+0.11,+1.43,Matches,a53b661f
269,Andreas Beck,de GER,DF,Stuttgart,de Bundesliga,30,1987,23,1927,84,63.0,21.4,22,,16,1,,4,1.39,20,23,-3,-0.14,-0.38,25.0,21.4,+3.6,+0.17,+0.70,Matches,00a6485f
270,Henri Bedimo,cm CMR,DFFW,Marseille,fr Ligue 1,33,1984,3,42,14,1.2,0.5,0,,0,3,14,7,3.00,2,3,-1,-2.14,-3.05,2.1,1.0,+1.1,+2.37,+1.44,Matches,0d57f1c1
271,Jan Bednarek,pl POL,DF,Southampton,eng Premier League,21,1996,5,426,85,12.5,4.7,5,,3,0,,9,1.60,5,5,0,0.00,+0.57,4.4,2.8,+1.6,+0.34,+0.55,Matches,4115ce4e
272,Asmir Begović,ba BIH,GK,Bournemouth,eng Premier League,30,1987,38,3420,90,100.0,38.0,38,,38,0,,0,1.16,45,61,-16,-0.42,,38.8,59.2,-20.4,-0.54,,Matches,7b4de647
273,Valon Behrami,ch SUI,MF,Udinese,it Serie A,32,1985,20,1398,70,40.9,15.5,18,,6,2,,4,1.45,20,22,-2,-0.13,+0.45,18.9,17.5,+1.4,+0.09,+0.43,Matches,d3d758d8
274,Efkan Bekiroglu,tr TUR,MF,Augsburg,de Bundesliga,21,1995,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,6233f5f9
275,Youcef Belaïli,dz ALG,FWMF,Angers,fr Ligue 1,25,1992,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,1a248246
276,Vid Belec,si SVN,GK,Benevento,it Serie A,27,1990,13,1113,86,32.5,12.4,13,,12,0,,8,0.46,7,27,-20,-1.62,-0.41,12.5,25.0,-12.6,-1.02,-0.14,Matches,4f8ce0e1
277,Vid Belec,si SVN,GK,Sampdoria,it Serie A,27,1990,2,180,90,5.3,2.0,2,,2,0,,11,0.00,1,5,-4,-2.00,-2.00,1.3,3.0,-1.7,-0.84,-0.70,Matches,4f8ce0e1
278,Ishak Belfodil,dz ALG,FW,Werder Bremen,de Bundesliga,25,1992,26,1350,52,44.1,15.0,13,,5,13,,4,1.08,15,19,-4,-0.27,-0.32,20.7,19.6,+1.1,+0.07,+0.45,Matches,ff182fdc
279,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,25,1991,25,2177,87,71.1,24.2,24,,24,1,,2,1.20,26,33,-7,-0.29,+0.42,24.3,31.7,-7.4,-0.31,+0.22,Matches,857a5abe
280,Raoul Bellanova,it ITA,DFMF,Milan,it Serie A,17,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,e3756e72
281,Karim Bellarabi,de GER,MFFW,Leverkusen,de Bundesliga,27,1990,24,1146,48,37.5,12.7,13,,6,11,,10,1.29,17,24,-7,-0.55,-1.54,21.2,16.6,+4.6,+0.36,-0.30,Matches,bee0bab1
282,Alessandro Bellemo,it ITA,MF,SPAL,it Serie A,21,1995,0,,,,,0,,0,0,,19,,,,,,,,,,,,Matches,fb8b8534
283,Héctor Bellerín,es ESP,DF,Arsenal,eng Premier League,22,1995,35,3051,87,89.2,33.9,34,,33,1,,0,1.71,67,44,+23,+0.68,+0.68,61.4,41.9,+19.5,+0.57,+0.33,Matches,f874dd44
284,François Bellugou,fr FRA,MF,Troyes,fr Ligue 1,30,1987,30,2177,73,63.7,24.2,27,77,16,3,32,5,0.90,19,41,-22,-0.91,-0.55,22.7,36.0,-13.3,-0.55,-0.50,Matches,2174bc8d
285,Andrea Belotti,it ITA,FW,Torino,it Serie A,23,1993,32,2683,84,78.5,29.8,29,,27,3,,0,1.50,43,35,+8,+0.27,+0.27,36.0,38.5,-2.5,-0.08,-0.26,Matches,d705ba44
286,Chaouki Ben Saada,tn TUN,FWMF,Troyes,fr Ligue 1,33,1984,16,342,21,10.0,3.8,2,68,0,14,15,9,0.94,6,8,-2,-0.53,+0.20,5.5,7.9,-2.4,-0.63,-0.29,Matches,61d618fa
287,Wissam Ben Yedder,fr FRA,FW,Sevilla,es La Liga,26,1990,25,1700,68,49.7,18.9,18,85,13,7,24,12,1.36,24,27,-3,-0.16,+0.16,30.2,22.9,+7.3,+0.38,+0.49,Matches,942b4f90
288,Diego Benaglio,ch SUI,GK,Monaco,fr Ligue 1,33,1983,3,225,75,6.6,2.5,2,90,2,1,45,20,3.00,9,0,+9,+3.60,+2.73,5.9,2.5,+3.4,+1.38,+1.09,Matches,b7e7937d
289,Ahmad Benali,ly LBY,MF,Crotone,it Serie A,25,1992,10,811,81,23.7,9.0,10,,8,0,,0,0.90,14,14,0,0.00,+0.90,11.2,11.4,-0.2,-0.02,+0.80,Matches,a128b07e
290,Yohan Benalouane,tn TUN,DF,Leicester City,eng Premier League,30,1987,1,90,90,2.6,1.0,1,,1,0,,8,0.00,0,2,-2,-2.00,-1.95,0.5,1.6,-1.1,-1.07,-1.15,Matches,8309b068
291,Marco Benassi,it ITA,MFFW,Fiorentina,it Serie A,22,1994,35,2782,79,81.3,30.9,35,,20,0,,2,1.51,41,34,+7,+0.23,+0.09,44.3,30.0,+14.3,+0.46,+0.54,Matches,0000acda
