,,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,-9999
1670,Maxime Lestienne,be BEL,MF,Málaga,es La Liga,25,1992,12,669,56,19.6,7.4,8,74,2,4,19,2,0.58,7,11,-4,-0.54,+0.54,8.6,10.8,-2.2,-0.30,+0.31,Matches,ac290817
1671,Alexandre Letellier,fr FRA,GK,Angers,fr Ligue 1,26,1990,13,1170,90,34.2,13.0,13,90,13,0,,4,1.00,16,17,-1,-0.08,+0.28,17.1,15.8,+1.2,+0.09,+0.07,Matches,96fcd380
1672,Gaetano Letizia,it ITA,DF,Benevento,it Serie A,27,1990,29,2141,74,62.6,23.8,25,,16,4,,7,0.48,18,45,-27,-1.13,+0.55,23.3,38.2,-14.9,-0.63,+0.78,Matches,3dd45b70
1673,Timo Letschert,nl NED,DF,Sassuolo,it Serie A,24,1993,7,416,59,12.2,4.6,5,,4,2,,6,0.86,3,6,-3,-0.65,+0.16,6.2,6.6,-0.4,-0.10,-0.03,Matches,be9938ed
1674,Maxime Leverbe,fr FRA,DF,Sampdoria,it Serie A,20,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,f155d812
1675,Robert Lewandowski,pl POL,FW,Bayern Munich,de Bundesliga,28,1988,30,2172,72,71.0,24.1,24,,20,6,,3,2.40,64,21,+43,+1.78,-0.35,58.5,21.6,+37.0,+1.53,+0.81,Matches,8d78e732
1676,Igor Lewczuk,pl POL,DF,Bordeaux,fr Ligue 1,32,1985,7,437,62,12.8,4.9,4,87,3,3,29,12,1.14,6,7,-1,-0.21,-0.39,7.1,7.2,-0.1,-0.03,-0.25,Matches,6b9f2f3e
1677,Ben Lhassine Kone,ci CIV,MF,Torino,it Serie A,17,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,7452c7a8
1678,Stephan Lichtsteiner,ch SUI,DF,Juventus,it Serie A,33,1984,27,1704,63,49.8,18.9,21,,7,6,,7,2.52,47,19,+28,+1.48,-0.30,26.8,16.9,+9.9,+0.52,-0.42,Matches,99b1d0e6
1679,Dimitri Liénard,fr FRA,MFFW,Strasbourg,fr Ligue 1,29,1988,33,2602,79,76.1,28.9,29,86,22,4,28,0,1.15,42,49,-7,-0.24,+1.52,39.1,43.3,-4.2,-0.14,+0.81,Matches,f7691f63
1680,Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,21,1996,11,865,79,28.3,9.6,11,,8,0,,7,1.00,6,21,-15,-1.56,-1.19,10.2,16.3,-6.0,-0.63,-0.60,Matches,302527b2
1681,Lucas Lima,br BRA,DFFW,Nantes,fr Ligue 1,25,1991,33,2657,81,77.7,29.5,30,85,25,3,39,1,1.45,26,26,0,0.00,+0.59,32.5,28.1,+4.4,+0.15,+0.23,Matches,0f52f925
1682,Anders Lindegaard,dk DEN,GK,Burnley,eng Premier League,33,1984,0,,,,,0,,0,0,,25,,,,,,,,,,,,Matches,636f1a28
1683,Victor Lindelöf,se SWE,DF,Manchester Utd,eng Premier League,23,1994,17,1285,76,37.6,14.3,13,,13,4,,9,2.00,26,14,+12,+0.84,-0.34,21.4,17.0,+4.4,+0.31,-0.14,Matches,f5deef4c
1684,Karol Linetty,pl POL,MF,Sampdoria,it Serie A,22,1995,29,2139,74,62.5,23.8,21,,18,8,,3,1.62,40,31,+9,+0.38,+1.29,35.6,36.3,-0.7,-0.03,+0.39,Matches,d023d70f
1685,Jesse Lingard,eng ENG,MFFW,Manchester Utd,eng Premier League,24,1992,33,1817,55,53.1,20.2,20,,3,13,,4,2.00,41,18,+23,+1.14,+0.18,29.6,23.2,+6.4,+0.32,-0.17,Matches,810e3c74
1686,Pol Lirola,es ESP,DFFW,Sassuolo,it Serie A,19,1997,24,2025,84,59.2,22.5,22,,22,2,,6,1.00,17,37,-20,-0.89,-0.24,27.8,29.7,-1.9,-0.09,-0.04,Matches,ff800ed8
1687,Jake Livermore,eng ENG,MF,West Brom,eng Premier League,27,1989,34,2674,79,78.2,29.7,30,,25,4,,0,0.88,22,41,-19,-0.64,+0.08,28.3,36.7,-8.3,-0.28,+0.09,Matches,b98570d1
1688,Marcel Lizak,pl POL,GK,Girona,es La Liga,21,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,5fb08fb4
1689,Raúl Lizoain,es ESP,GK,Las Palmas,es La Liga,26,1991,11,990,90,28.9,11.0,11,90,11,0,,27,0.45,6,27,-21,-1.91,-0.84,11.0,21.6,-10.6,-0.97,-0.17,Matches,f69e9eee
1690,Adem Ljajić,rs SRB,MFFW,Torino,it Serie A,25,1991,27,2166,80,63.3,24.1,23,,21,4,,6,1.30,36,31,+5,+0.21,-0.01,29.6,31.8,-2.1,-0.09,-0.17,Matches,2648e18f
1691,Diego Llorente,es ESP,DF,Real Sociedad,es La Liga,23,1993,27,2326,86,68.0,25.8,26,89,23,1,25,8,1.04,33,38,-5,-0.19,-1.18,32.9,31.6,+1.3,+0.05,-0.10,Matches,bba30585
1692,Fernando Llorente,es ESP,FWMF,Tottenham,eng Premier League,32,1985,16,238,15,7.0,2.6,1,,0,15,,13,1.63,5,2,+3,+1.13,+0.14,7.7,4.5,+3.2,+1.21,+0.43,Matches,82dbf623
1693,Marcos Llorente,es ESP,MF,Real Madrid,es La Liga,22,1995,13,546,42,16.0,6.1,5,82,3,8,17,10,2.38,12,5,+7,+1.15,-0.19,14.8,8.4,+6.4,+1.06,-0.06,Matches,02c15616
1694,Gautier Lloris,fr FRA,DF,Nice,fr Ligue 1,22,1995,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,ac89503b
1695,Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,30,1986,36,3240,90,94.7,36.0,36,,36,0,,0,2.03,72,35,+37,+1.03,+0.53,62.7,32.3,+30.4,+0.84,+0.63,Matches,8f62b6ee
1696,Giovani Lo Celso,ar ARG,MF,Paris S-G,fr Ligue 1,21,1996,33,1776,54,51.9,19.7,18,83,11,15,18,4,2.48,55,17,+38,+1.93,-0.32,45.0,20.6,+24.5,+1.24,-0.25,Matches,d7553721
1697,Simone Lo Faso,it ITA,FW,Fiorentina,it Serie A,19,1998,2,36,18,1.1,0.4,0,,0,2,,21,3.00,0,0,0,0.00,-0.21,0.6,0.2,+0.4,+1.05,+0.70,Matches,51c614fd
1698,Bogdan Lobonț,ro ROU,GK,Roma,it Serie A,39,1978,0,,,,,0,,0,0,,36,,,,,,,,,,,,Matches,ee5fc087
1699,Stanislav Lobotka,sk SVK,MF,Celta Vigo,es La Liga,22,1994,38,3061,81,89.5,34.0,34,88,30,4,15,0,1.29,54,54,0,0.00,+0.25,49.6,50.1,-0.5,-0.02,-0.07,Matches,e1cbb531
1700,Jürgen Locadia,nl NED,FWMF,Brighton,eng Premier League,23,1993,6,224,37,6.5,2.5,3,,0,3,,6,0.50,3,8,-5,-2.01,-1.59,3.3,5.6,-2.3,-0.94,-0.62,Matches,6cc47ae1
1701,Manuel Locatelli,it ITA,MF,Milan,it Serie A,19,1998,21,684,33,20.0,7.6,5,,4,16,,17,1.81,17,10,+7,+0.92,+0.69,10.1,8.5,+1.6,+0.21,-0.21,Matches,a8a874f1
1702,Ruben Loftus-Cheek,eng ENG,MF,Crystal Palace,eng Premier League,21,1996,24,1874,78,54.8,20.8,21,,17,3,,0,1.33,28,30,-2,-0.10,+0.37,29.9,26.7,+3.2,+0.16,+0.04,Matches,e97fd090
1703,Enzo Loiodice,fr FRA,MF,Dijon,fr Ligue 1,16,2000,4,167,42,4.9,1.9,1,90,1,3,26,0,1.50,4,2,+2,+1.08,+1.63,3.0,2.6,+0.4,+0.21,+0.83,Matches,6bca20fe
1704,Jason Lokilo,be BEL,MF,Crystal Palace,eng Premier League,18,1998,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches,fad4d5e8
1705,Joe Lolley,eng ENG,FWMF,Huddersfield,eng Premier League,24,1992,6,221,37,6.5,2.5,2,,0,4,,2,1.00,2,5,-3,-1.22,-0.46,1.5,2.2,-0.7,-0.28,+0.18,Matches,c5f13182
1706,Niklas Lomb,de GER,GK,Leverkusen,de Bundesliga,24,1993,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches,9321b8ed
1707,David Lombán,es ESP,DF,Eibar,es La Liga,30,1987,13,994,76,29.1,11.0,11,85,9,2,32,16,1.08,10,17,-7,-0.63,-0.67,8.4,15.9,-7.6,-0.68,-0.83,Matches,b43b81f1
1708,Cristiano Lombardi,it ITA,MFDF,Benevento,it Serie A,21,1995,17,1112,65,32.5,12.4,13,,5,4,,12,0.35,8,32,-24,-1.94,-0.89,11.6,25.7,-14.0,-1.14,-0.32,Matches,f124b4c9
1709,Cristiano Lombardi,it ITA,FWMF,Lazio,it Serie A,21,1995,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,f124b4c9
1710,Manuel Lombardoni,it ITA,DF,Inter,it Serie A,18,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,672489c0
1711,Kevin Long,ie IRL,DF,Burnley,eng Premier League,26,1990,16,1440,90,42.1,16.0,16,,16,0,,22,1.19,14,21,-7,-0.44,-0.62,13.0,22.4,-9.4,-0.59,-0.16,Matches,5a4280b1
1712,Shane Long,ie IRL,FW,Southampton,eng Premier League,30,1987,30,1582,53,46.3,17.6,15,,5,15,,3,1.00,18,28,-10,-0.57,-0.13,20.5,24.0,-3.6,-0.20,-0.12,Matches,9f472354
1713,Ademola Lookman,ng NGA,FWMF,Everton,eng Premier League,19,1997,7,159,23,4.6,1.8,1,,0,6,,10,1.86,7,6,+1,+0.57,+0.98,3.7,3.6,+0.1,+0.08,+0.41,Matches,7c104bb7
1714,Ademola Lookman,ng NGA,MFFW,RB Leipzig,de Bundesliga,19,1997,11,574,52,18.8,6.4,7,,2,4,,3,1.27,15,10,+5,+0.78,+0.82,10.4,10.9,-0.5,-0.08,-0.28,Matches,7c104bb7
1715,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,26,1990,34,3060,90,89.5,34.0,34,90,34,0,,0,2.09,78,37,+41,+1.21,+0.46,57.7,35.2,+22.5,+0.66,+0.47,Matches,f00de885
1716,Rony Lopes,pt POR,FWMF,Monaco,fr Ligue 1,21,1995,38,2531,67,74.0,28.1,32,74,6,6,26,0,2.11,67,32,+35,+1.24,+0.74,49.2,34.5,+14.7,+0.52,+0.61,Matches,7c2965bb
1717,Adrián López,es ESP,GK,Espanyol,es La Liga,18,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,c58ebf64
1718,Adrián López,es ESP,FWMF,La Coruña,es La Liga,29,1988,30,2345,78,68.6,26.1,26,86,20,4,28,0,0.63,22,54,-32,-1.23,-0.73,36.6,41.3,-4.7,-0.18,+0.03,Matches,88a359d4
1719,Alberto López,es ESP,DF,Málaga,es La Liga,22,1995,1,45,45,1.3,0.5,0,,0,1,45,0,0.00,0,1,-1,-2.00,-1.04,1.0,2.0,-1.1,-2.11,-1.58,Matches,c0de5ff5
1720,Andoni López,es ESP,DF,Athletic Club,es La Liga,21,1996,1,90,90,2.6,1.0,1,90,1,0,,0,0.00,0,2,-2,-2.00,-1.84,0.4,2.5,-2.0,-2.02,-2.05,Matches,fc8cb238
1721,Ángel López,es ESP,MF,Eibar,es La Liga,20,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,f26d76e4
1722,David López,es ESP,DFMF,Espanyol,es La Liga,27,1989,37,3330,90,97.4,37.0,37,90,37,0,,0,1.30,35,41,-6,-0.16,-0.16,40.5,51.1,-10.6,-0.29,+0.25,Matches,f03f284b
1723,Diego López,es ESP,GK,Espanyol,es La Liga,35,1981,10,853,85,24.9,9.5,10,85,9,0,,19,1.40,12,11,+1,+0.11,+0.35,11.4,12.8,-1.4,-0.15,+0.19,Matches,73683fa9
1724,Iván López,es ESP,DF,Levante,es La Liga,23,1993,3,173,58,5.1,1.9,3,58,1,0,,0,1.67,3,2,+1,+0.52,+0.94,3.0,1.2,+1.8,+0.95,+1.52,Matches,576575e5
1725,Javi López,es ESP,DF,Espanyol,es La Liga,31,1986,14,966,69,28.2,10.7,12,79,9,2,10,8,1.79,14,8,+6,+0.56,+1.00,13.4,15.1,-1.7,-0.16,+0.18,Matches,ffad706e
1726,Lisandro López,ar ARG,DF,Inter,it Serie A,27,1989,1,45,45,1.3,0.5,0,,0,1,,17,3.00,1,0,+1,+2.00,+1.07,1.6,0.1,+1.5,+2.92,+2.43,Matches,8320fe65
1727,Maxi López,ar ARG,FW,Udinese,it Serie A,33,1984,28,1684,60,49.2,18.7,20,,9,8,,8,1.14,30,34,-4,-0.21,+0.36,22.0,25.5,-3.5,-0.18,-0.05,Matches,ad469944
1728,Maxime Lopez,fr FRA,MFFW,Marseille,fr Ligue 1,19,1997,24,1378,57,40.3,15.3,14,84,10,10,20,11,2.00,31,16,+15,+0.98,+0.19,30.5,14.4,+16.2,+1.06,+0.17,Matches,20094685
1729,Pedro López Muñoz,es ESP,DF,Levante,es La Liga,33,1983,21,1594,76,46.6,17.7,18,82,12,3,39,13,1.36,17,22,-5,-0.28,+0.16,17.0,29.2,-12.2,-0.69,-0.36,Matches,a60823a4
1730,Pau López,es ESP,GK,Espanyol,es La Liga,22,1994,29,2567,89,75.1,28.5,28,90,28,1,47,9,1.24,24,31,-7,-0.25,-0.35,29.7,39.5,-9.8,-0.34,-0.19,Matches,20b9f052
1731,Pedro López,es ESP,GK,Betis,es La Liga,22,1995,5,412,82,12.0,4.6,4,90,4,1,52,8,1.00,6,8,-2,-0.44,-0.47,6.2,5.9,+0.3,+0.07,+0.17,Matches,bfa29677
1732,Víctor López,es ESP,MF,Alavés,es La Liga,20,1997,1,60,60,1.8,0.7,1,60,0,0,,1,3.00,1,0,+1,+1.50,+1.79,0.5,0.7,-0.3,-0.39,+0.07,Matches,a68856b5
1733,Leonardo Loria,it ITA,GK,Juventus,it Serie A,18,1999,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches,f95a178d
1734,Jonas Lössl,dk DEN,GK,Huddersfield,eng Premier League,28,1989,38,3420,90,100.0,38.0,38,,38,0,,0,0.97,28,58,-30,-0.79,,31.3,48.5,-17.2,-0.45,,Matches,939bc634
1735,Dejan Lovren,hr CRO,DF,Liverpool,eng Premier League,28,1989,29,2127,73,62.2,23.6,24,,22,5,,5,2.07,54,24,+30,+1.27,+0.16,42.8,22.0,+20.8,+0.88,-0.39,Matches,1a2935f6
1736,Chris Löwe,de GER,DF,Huddersfield,eng Premier League,28,1989,23,1588,69,46.4,17.6,19,,10,4,,8,1.04,13,26,-13,-0.74,+0.10,15.9,24.5,-8.7,-0.49,-0.07,Matches,c6896eab
1737,Matthew Lowton,eng ENG,DF,Burnley,eng Premier League,28,1989,26,2295,88,67.1,25.5,25,,25,1,,8,1.58,28,26,+2,+0.08,+0.48,22.1,32.9,-10.8,-0.42,+0.22,Matches,9a9c05db
1738,Anthony Lozano,hn HON,FWMF,Girona,es La Liga,24,1993,14,471,34,13.8,5.2,4,74,1,10,17,2,1.43,6,12,-6,-1.15,-1.05,6.0,7.2,-1.2,-0.23,-0.27,Matches,38699c72
1739,Fabio Lucioni,it ITA,DF,Benevento,it Serie A,29,1987,8,720,90,21.1,8.0,8,,8,0,,0,0.75,5,17,-12,-1.50,-0.20,7.7,17.6,-9.9,-1.24,-0.40,Matches,8efa621b
1740,Filipe Luís,br BRA,DF,Atlético Madrid,es La Liga,31,1985,20,1659,83,48.5,18.4,19,87,16,1,3,3,2.15,31,10,+21,+1.14,+0.37,27.4,15.6,+11.7,+0.64,+0.50,Matches,e4ed2628
1741,José Luis Gayà,es ESP,DF,Valencia,es La Liga,22,1995,34,2916,86,85.3,32.4,33,88,30,1,14,2,2.03,55,32,+23,+0.71,0.00,45.3,41.6,+3.7,+0.11,-0.60,Matches,b05e2dbd
1742,José Luis Morales,es ESP,MFFW,Levante,es La Liga,30,1987,35,3058,87,89.4,34.0,35,87,27,0,,0,1.26,39,53,-14,-0.41,-0.41,40.0,55.7,-15.6,-0.46,+0.33,Matches,4a478107
1743,José Luis Palomino,ar ARG,DF,Atalanta,it Serie A,27,1990,26,1979,76,57.9,22.0,22,,20,4,,7,1.62,31,24,+7,+0.32,-0.37,36.3,22.0,+14.3,+0.65,-0.17,Matches,921f6058
1744,Luisinho,pt POR,DF,La Coruña,es La Liga,32,1985,30,2622,87,76.7,29.1,29,90,28,1,21,2,0.67,29,60,-31,-1.06,-0.27,41.4,45.8,-4.4,-0.15,+0.16,Matches,a7f00c8c
1745,David Luiz,br BRA,DFMF,Chelsea,eng Premier League,30,1987,10,840,84,24.6,9.3,9,,8,1,,3,1.90,17,13,+4,+0.43,-0.27,10.5,11.1,-0.6,-0.06,-0.80,Matches,c0e27d1a
1746,Douglas Luiz,br BRA,MFFW,Girona,es La Liga,19,1998,15,309,21,9.0,3.4,1,90,1,14,16,13,1.27,4,10,-6,-1.75,-1.66,4.7,7.4,-2.7,-0.79,-0.87,Matches,6f7d826d
1747,Everton Luiz,br BRA,MF,SPAL,it Serie A,29,1988,11,642,58,18.8,7.1,7,,6,4,,5,1.27,7,9,-2,-0.28,+0.30,5.3,12.7,-7.5,-1.04,-0.57,Matches,3799e138
1748,Jordan Lukaku,be BEL,DF,Lazio,it Serie A,23,1994,30,1355,45,39.6,15.1,10,,4,20,,4,1.87,41,14,+27,+1.79,+1.23,26.0,17.4,+8.6,+0.57,+0.08,Matches,0cd0e21b
1749,Romelu Lukaku,be BEL,FW,Manchester Utd,eng Premier League,24,1993,34,2867,84,83.8,31.9,33,,30,1,,0,2.18,63,26,+37,+1.16,+0.67,49.6,35.6,+14.0,+0.44,+0.26,Matches,5eae500a
1750,Lars Lukas Mai,de GER,DF,Bayern Munich,de Bundesliga,17,2000,2,180,90,5.9,2.0,2,,2,0,,2,3.00,7,1,+6,+3.00,+1.19,3.4,2.4,+1.0,+0.50,-0.84,Matches,95173427
1751,Dodi Lukebakio,be BEL,MFFW,Watford,eng Premier League,19,1997,1,16,16,0.5,0.2,0,,0,1,,4,0.00,0,1,-1,-5.63,-5.12,0.4,0.5,-0.1,-0.40,-0.22,Matches,0c61c77c
1752,Saša Lukić,rs SRB,MF,Levante,es La Liga,20,1996,16,994,62,29.1,11.0,12,77,6,4,19,10,1.38,16,23,-7,-0.63,-0.37,14.6,24.5,-9.9,-0.90,-0.57,Matches,c6e8cf1f
1753,Senad Lulić,ba BIH,DFMF,Lazio,it Serie A,31,1986,35,2426,69,70.9,27.0,30,,13,5,,0,1.94,57,35,+22,+0.82,-0.81,44.3,32.1,+12.2,+0.45,-0.24,Matches,7fd58fe3
1754,Levi Lumeka,eng ENG,FW,Crystal Palace,eng Premier League,18,1998,1,26,26,0.8,0.3,0,,0,1,,0,0.00,0,0,0,0.00,+0.27,1.5,0.0,+1.4,+5.02,+4.92,Matches,199ff86e
1755,Antonio Luna,es ESP,DF,Levante,es La Liga,26,1991,23,2021,88,59.1,22.5,22,88,21,1,77,10,1.13,27,35,-8,-0.36,+0.03,26.3,41.2,-14.9,-0.66,-0.41,Matches,ed239245
1756,Arnaud Lusamba,cd COD,MF,Nice,fr Ligue 1,20,1997,4,162,41,4.7,1.8,1,90,1,3,24,7,0.00,0,4,-4,-2.22,-2.36,0.9,3.8,-2.9,-1.63,-1.70,Matches,54131505
1757,Fabian Lustenberger,ch SUI,MFDF,Hertha BSC,de Bundesliga,29,1988,23,1583,69,51.7,17.6,18,,15,5,,8,1.26,17,24,-7,-0.40,-0.64,19.8,21.9,-2.1,-0.12,+0.06,Matches,a63a995f
1758,Andreas Luthe,de GER,GK,Augsburg,de Bundesliga,30,1987,2,180,90,5.9,2.0,2,,2,0,,31,0.50,2,4,-2,-1.00,-0.97,0.9,3.0,-2.1,-1.06,-1.23,Matches,7fe12375
1759,Lyanco,br BRA,DF,Torino,it Serie A,20,1997,4,316,79,9.2,3.5,4,,3,0,,10,1.25,7,9,-2,-0.57,-0.86,4.1,7.9,-3.8,-1.08,-1.16,Matches,b5bf1770
1760,Charalambos Lykogiannis,gr GRE,DF,Cagliari,it Serie A,23,1993,11,687,62,20.1,7.6,8,,6,3,,4,0.82,4,12,-8,-1.05,-0.39,6.3,9.0,-2.7,-0.35,+0.20,Matches,5efc5389
1761,Cheikh M'Bengue,sn SEN,DF,Saint-Étienne,fr Ligue 1,29,1988,7,489,70,14.3,5.4,6,79,4,1,17,15,0.29,2,12,-10,-1.84,-2.06,4.4,10.7,-6.3,-1.17,-1.27,Matches,88fdac8b
1762,Raïs M'Bolhi,dz ALG,GK,Rennes,fr Ligue 1,31,1986,1,90,90,2.6,1.0,1,90,1,0,,2,0.00,2,3,-1,-1.00,-1.19,1.3,2.2,-0.9,-0.92,-0.96,Matches,c121a641
1763,Yann M'Vila,fr FRA,MF,Saint-Étienne,fr Ligue 1,27,1990,17,1479,87,43.2,16.4,17,87,14,0,,0,1.82,23,14,+9,+0.55,+1.10,23.2,23.3,-0.1,0.00,+0.14,Matches,d4133fa1
1764,Makan Macalou,ml MLI,FW,Caen,fr Ligue 1,21,1996,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,f767d11c
1765,Matt Macey,eng ENG,GK,Arsenal,eng Premier League,22,1994,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches,136e7649
1766,Zinédine Machach,fr FRA,FWMF,Napoli,it Serie A,21,1996,0,,,,,0,,0,0,,15,,,,,,,,,,,,Matches,31377e38
1767,Zinédine Machach,fr FRA,FWMF,Toulouse,fr Ligue 1,21,1996,4,193,48,5.6,2.1,2,66,0,2,31,1,0.75,4,6,-2,-0.93,-0.54,2.1,2.7,-0.6,-0.28,-0.12,Matches,31377e38
1768,Niki Mäenpää,fi FIN,GK,Brighton,eng Premier League,32,1985,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches,14a96e1c
1769,Pablo Maffeo,es ESP,DF,Girona,es La Liga,20,1997,33,2642,80,77.3,29.4,32,82,22,1,11,3,1.42,39,46,-7,-0.24,-0.01,37.8,39.0,-1.2,-0.04,-0.20,Matches,5db04597
1770,Christian Maggio,it ITA,DF,Napoli,it Serie A,35,1982,13,641,49,18.7,7.1,6,,6,7,,25,2.46,14,4,+10,+1.40,+0.17,12.0,3.8,+8.1,+1.14,+0.10,Matches,31d7f557
1771,Francesco Magnanelli,it ITA,MF,Sassuolo,it Serie A,32,1984,32,2494,78,72.9,27.7,30,,18,2,,3,1.13,17,39,-22,-0.79,-0.02,33.7,32.4,+1.3,+0.05,+0.43,Matches,07767f42
1772,Harry Maguire,eng ENG,DF,Leicester City,eng Premier League,24,1993,38,3420,90,100.0,38.0,38,,38,0,,0,1.24,56,60,-4,-0.11,,50.0,48.1,+1.9,+0.05,,Matches,d8931174
1773,Connor Mahoney,eng ENG,FWMF,Bournemouth,eng Premier League,20,1997,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,38df681f
1774,Hicham Mahou,fr FRA,MFFW,Nice,fr Ligue 1,18,1999,3,55,18,1.6,0.6,0,,0,3,18,1,0.00,1,1,0,0.00,-0.03,1.3,0.5,+0.8,+1.38,+1.41,Matches,f329ec76
1775,Riyad Mahrez,dz ALG,MFFW,Leicester City,eng Premier League,26,1991,36,2950,82,86.3,32.8,34,,22,2,,0,1.28,49,51,-2,-0.06,+0.32,42.0,40.5,+1.5,+0.05,-0.02,Matches,892d5bb1
1776,Thiago Maia,br BRA,MFDF,Lille,fr Ligue 1,20,1997,34,2463,72,72.0,27.4,28,83,19,6,25,1,0.94,24,53,-29,-1.06,-1.34,21.7,44.2,-22.5,-0.82,-0.91,Matches,91e58f66
1777,Arne Maier,de GER,MF,Hertha BSC,de Bundesliga,18,1999,17,1223,72,40.0,13.6,14,,7,3,,4,1.41,19,17,+2,+0.15,+0.39,21.0,18.4,+2.6,+0.19,+0.56,Matches,ab700320
1778,Sebastian Maier,de GER,MF,Hannover 96,de Bundesliga,23,1993,10,265,27,8.7,2.9,2,,0,8,,12,1.00,4,9,-5,-1.70,-1.54,4.8,8.7,-3.9,-1.34,-1.11,Matches,e8385ec4
1779,Domenico Maietta,it ITA,DF,Bologna,it Serie A,34,1982,7,468,67,13.7,5.2,6,,4,1,,11,2.00,9,3,+6,+1.15,+1.70,5.5,5.4,0.0,+0.01,+0.46,Matches,3d936ba9
1780,Habib Maïga,ci CIV,MFDF,Saint-Étienne,fr Ligue 1,21,1996,13,708,54,20.7,7.9,7,86,6,6,17,8,1.15,5,16,-11,-1.40,-1.66,10.3,12.7,-2.4,-0.30,-0.28,Matches,e768de1f
1781,Mike Maignan,fr FRA,GK,Lille,fr Ligue 1,22,1995,34,3032,89,88.7,33.7,34,89,33,0,,2,1.09,37,53,-16,-0.47,+1.84,31.6,49.0,-17.4,-0.52,+0.44,Matches,fcb38f57
1782,Linton Maina,de GER,MF,Hannover 96,de Bundesliga,18,1999,1,5,5,0.2,0.1,0,,0,1,,2,0.00,2,0,+2,+36.00,+36.35,1.7,0.9,+0.8,+2.08,+2.43,Matches,e5d85da8
1783,Anthony Maisonnial,fr FRA,GK,Saint-Étienne,fr Ligue 1,19,1998,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches,108bb1e1
1784,Ainsley Maitland-Niles,eng ENG,DFMF,Arsenal,eng Premier League,19,1997,15,914,61,26.7,10.2,8,,8,7,,11,1.67,17,16,+1,+0.10,-0.69,14.3,14.3,0.0,0.00,-0.74,Matches,e3a5814e
1785,Moses Makasi,eng ENG,MF,West Ham,eng Premier League,21,1995,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,4ae7add0
1786,Jean-Victor Makengo,fr FRA,FWMF,Nice,fr Ligue 1,19,1998,5,246,49,7.2,2.7,2,81,1,3,28,15,0.80,0,1,-1,-0.37,-0.42,1.2,2.7,-1.5,-0.55,-0.59,Matches,22bfb57e
1787,Nemanja Maksimović,rs SRB,MF,Valencia,es La Liga,22,1995,15,557,37,16.3,6.2,6,81,4,9,8,16,2.40,7,8,-1,-0.16,-1.04,7.6,9.8,-2.2,-0.35,-0.67,Matches,00b28772
1788,Nikola Maksimović,rs SRB,DF,Napoli,it Serie A,25,1991,2,96,48,2.8,1.1,1,,1,1,,18,3.00,3,2,+1,+0.94,-0.34,1.8,0.3,+1.5,+1.44,+0.40,Matches,16b9d5cf
1789,Malcom,br BRA,FW,Bordeaux,fr Ligue 1,20,1997,35,2856,82,83.5,31.7,32,87,18,3,25,0,1.54,48,38,+10,+0.32,+1.11,43.4,33.1,+10.3,+0.32,+0.77,Matches,6853490f
1790,Kévin Malcuit,ma MAR,DF,Lille,fr Ligue 1,26,1991,23,1817,79,53.1,20.2,21,86,19,2,10,0,1.22,26,36,-10,-0.50,+0.40,22.1,29.6,-7.4,-0.37,+0.42,Matches,d6a889ea
1791,Yunus Mallı,tr TUR,FWMF,Wolfsburg,de Bundesliga,25,1992,31,2242,72,73.3,24.9,24,,16,7,,2,1.03,32,35,-3,-0.12,+0.87,26.1,40.1,-14.0,-0.56,-0.15,Matches,f3722c97
1792,Hugo Mallo,es ESP,DF,Celta Vigo,es La Liga,26,1991,34,2999,88,87.7,33.3,34,88,29,0,,0,1.32,50,51,-1,-0.03,-0.03,45.4,48.3,-2.8,-0.09,-0.62,Matches,cb574619
1793,Maurice Malone,de GER,FWMF,Augsburg,de Bundesliga,16,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,0674ebf1
