,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
1357,Gaëtan Laborde,fr FRA,FW,Bordeaux,fr Ligue 1,23,1994,10.6,3,30,12,40.0,2.82,1.13,0.07,0.17,15.3,0,1,1,4.2,3.4,0.11,-1.2,-1.4,Matches,7cdda3bf
1358,Alexandre Lacazette,fr FRA,FW,Arsenal,eng Premier League,26,1991,24.5,14,66,32,48.5,2.70,1.31,0.18,0.38,13.6,0,2,2,13.7,12.1,0.18,+0.3,-0.1,Matches,9dbb75ca
1359,Mehdi Lacen,dz ALG,MF,Málaga,es La Liga,33,1984,11.7,0,5,0,0.0,0.43,0.00,0.00,,22.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,a3a306f6
1360,Mehdi Lacen,dz ALG,MF,Getafe,es La Liga,33,1984,0.7,0,2,1,50.0,2.90,1.45,0.00,0.00,22.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,a3a306f6
1361,Léo Lacroix,ch SUI,DF,Saint-Étienne,fr Ligue 1,25,1992,8.6,0,8,0,0.0,0.93,0.00,0.00,,11.0,0,0,0,0.8,0.8,0.10,-0.8,-0.8,Matches,5984e9f9
1362,Freddie Ladapo,eng ENG,FW,Crystal Palace,eng Premier League,24,1993,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,da2b8db3
1363,Alban Lafont,fr FRA,GK,Toulouse,fr Ligue 1,18,1999,38.0,0,1,0,0.0,0.03,0.00,0.00,,11.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,4e7db402
1364,Víctor Laguardia,es ESP,DF,Alavés,es La Liga,27,1989,17.0,2,5,2,40.0,0.29,0.12,0.40,1.00,11.3,0,0,0,0.5,0.5,0.10,+1.5,+1.5,Matches,b7c99b9b
1365,Konrad Laimer,at AUT,DFMF,RB Leipzig,de Bundesliga,20,1997,14.9,0,5,0,0.0,0.34,0.00,0.00,,22.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,c1b7847c
1366,Kenny Lala,fr FRA,DF,Strasbourg,fr Ligue 1,25,1991,30.3,3,12,2,16.7,0.40,0.07,0.00,0.00,30.4,2,3,3,2.8,0.5,0.04,+0.2,-0.5,Matches,770d7eb8
1367,Adam Lallana,eng ENG,MFFW,Liverpool,eng Premier League,29,1988,3.4,0,11,0,0.0,3.21,0.00,0.00,,18.9,0,0,0,1.5,1.5,0.13,-1.5,-1.5,Matches,99813635
1368,Eugenio Lamanna,it ITA,GK,Genoa,it Serie A,27,1989,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,349601c3
1369,Érik Lamela,ar ARG,FWMF,Tottenham,eng Premier League,25,1992,9.4,2,20,6,30.0,2.14,0.64,0.10,0.33,14.2,0,0,0,3.4,3.4,0.17,-1.4,-1.4,Matches,abe66106
1370,Ádám Lang,hu HUN,DF,Dijon,fr Ligue 1,24,1993,2.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8614496d
1371,Sebastian Langkamp,de GER,DF,Hertha BSC,de Bundesliga,29,1988,10.6,0,6,1,16.7,0.57,0.09,0.00,0.00,14.2,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,74d70fb5
1372,Sebastian Langkamp,de GER,DF,Werder Bremen,de Bundesliga,29,1988,4.6,0,1,0,0.0,0.22,0.00,0.00,,4.7,0,0,0,0.7,0.7,0.71,-0.7,-0.7,Matches,74d70fb5
1373,Manuel Lanzini,ar ARG,MFFW,West Ham,eng Premier League,24,1993,22.7,5,43,16,37.2,1.90,0.71,0.12,0.31,21.0,7,0,1,3.9,3.1,0.07,+1.1,+1.9,Matches,26f6dca8
1374,Gianluca Lapadula,pe PER,FW,Genoa,it Serie A,27,1990,16.6,6,49,7,14.3,2.95,0.42,0.06,0.43,13.7,0,3,4,10.5,7.3,0.15,-4.5,-4.3,Matches,2ead2809
1375,Aymeric Laporte,es ESP,DF,Manchester City,eng Premier League,23,1994,9.0,0,3,0,0.0,0.33,0.00,0.00,,26.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,119b9a8e
1376,Aymeric Laporte,es ESP,DF,Athletic Club,es La Liga,23,1994,19.0,0,8,2,25.0,0.42,0.11,0.00,0.00,17.5,2,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches,119b9a8e
1377,Danilo Larangeira,br BRA,DF,Udinese,it Serie A,33,1984,30.8,1,15,5,33.3,0.49,0.16,0.07,0.20,12.3,0,0,0,1.3,1.3,0.09,-0.3,-0.3,Matches,fed5f993
1378,Kevin Lasagna,it ITA,FW,Udinese,it Serie A,24,1992,23.7,12,72,31,43.1,3.04,1.31,0.17,0.39,14.8,2,0,0,11.3,11.3,0.16,+0.7,+0.7,Matches,09538fdb
1379,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,23,1993,32.5,3,12,8,66.7,0.37,0.25,0.25,0.38,12.2,0,0,0,1.1,1.1,0.09,+1.9,+1.9,Matches,450ab6fc
1380,Paul Lasne,fr FRA,MF,Montpellier,fr Ligue 1,28,1989,34.0,1,45,12,26.7,1.32,0.35,0.02,0.08,27.9,0,0,0,1.4,1.4,0.03,-0.4,-0.4,Matches,542cc80f
1381,Borja Lasso,es ESP,MF,Sevilla,es La Liga,23,1994,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d9faee7e
1382,Toni Lato,es ESP,DFMF,Valencia,es La Liga,19,1997,8.9,0,1,0,0.0,0.11,0.00,0.00,,17.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,8e088e04
1383,Danny Latza,de GER,MF,Mainz 05,de Bundesliga,27,1989,26.1,2,40,9,22.5,1.53,0.34,0.05,0.22,23.3,0,0,0,1.7,1.7,0.04,+0.3,+0.3,Matches,33b554b7
1384,Vincent Laurini,fr FRA,DF,Fiorentina,it Serie A,28,1989,17.9,0,1,0,0.0,0.06,0.00,0.00,,26.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,3535098b
1385,Wesley Lautoa,nc NCL,DFMF,Dijon,fr Ligue 1,29,1987,6.9,0,1,0,0.0,0.14,0.00,0.00,,8.5,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,6e5b5a45
1386,Diego Laxalt,uy URU,DF,Genoa,it Serie A,24,1993,31.2,3,31,6,19.4,0.99,0.19,0.10,0.50,18.2,0,0,0,1.5,1.5,0.05,+1.5,+1.5,Matches,f26e3c59
1387,Miguel Layún,mx MEX,DF,Sevilla,es La Liga,29,1988,13.2,2,22,5,22.7,1.67,0.38,0.09,0.40,23.9,2,0,0,0.8,0.8,0.04,+1.2,+1.2,Matches,ad6295d4
1388,Achraf Lazaar,ma MAR,MFDF,Benevento,it Serie A,25,1992,5.3,1,7,4,57.1,1.32,0.75,0.14,0.25,20.1,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches,957d41d2
1389,Valentino Lazaro,at AUT,MFFW,Hertha BSC,de Bundesliga,21,1996,20.7,2,17,11,64.7,0.82,0.53,0.12,0.18,18.6,2,0,0,2.2,2.2,0.13,-0.2,-0.2,Matches,016ff750
1390,Darko Lazović,rs SRB,DFMF,Genoa,it Serie A,26,1990,13.8,0,9,2,22.2,0.65,0.14,0.00,0.00,16.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches,5128bde4
1391,Manuel Lazzari,it ITA,DF,SPAL,it Serie A,23,1993,34.6,2,23,5,21.7,0.66,0.14,0.09,0.40,22.5,0,0,0,1.2,1.2,0.05,+0.8,+0.8,Matches,02caf6e0
1392,Mickaël Le Bihan,fr FRA,FWMF,Nice,fr Ligue 1,27,1990,1.2,0,1,0,0.0,0.84,0.00,0.00,,8.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,d512db65
1393,Maxime Le Marchand,fr FRA,DF,Nice,fr Ligue 1,27,1989,28.2,0,12,0,0.0,0.43,0.00,0.00,,22.6,1,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches,321a71a7
1394,James Lea Siliki,cm CMR,MF,Rennes,fr Ligue 1,21,1996,20.2,3,34,9,26.5,1.68,0.45,0.09,0.33,23.4,3,0,0,2.6,2.6,0.08,+0.4,+0.4,Matches,7cf431a5
1395,Mathew Leckie,au AUS,FWMF,Hertha BSC,de Bundesliga,26,1991,20.6,5,23,8,34.8,1.12,0.39,0.22,0.63,15.7,0,0,0,2.0,2.0,0.09,+3.0,+3.0,Matches,b93b7882
1396,Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,26,1991,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2fa2a875
1397,Pierre Lees-Melou,fr FRA,MFFW,Nice,fr Ligue 1,24,1993,32.1,5,48,20,41.7,1.49,0.62,0.08,0.20,20.6,0,1,1,4.4,3.6,0.07,+0.6,+0.4,Matches,f5044e54
1398,Matthias Lehmann,de GER,MF,Köln,de Bundesliga,34,1983,16.8,0,12,3,25.0,0.71,0.18,0.00,0.00,31.2,1,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches,abb42ce6
1399,Lucas Leiva,br BRA,MF,Lazio,it Serie A,30,1987,32.0,2,27,9,33.3,0.84,0.28,0.07,0.22,16.0,0,0,0,2.7,2.7,0.10,-0.7,-0.7,Matches,4c78b5ed
1400,Florian Lejeune,fr FRA,DF,Newcastle Utd,eng Premier League,26,1991,23.4,0,13,2,15.4,0.56,0.09,0.00,0.00,21.0,2,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches,6eaed4eb
1401,Iñigo Lekue,es ESP,DFFW,Athletic Club,es La Liga,24,1993,23.5,0,18,5,27.8,0.77,0.21,0.00,0.00,26.7,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches,59b7d823
1402,Thomas Lemar,fr FRA,MFFW,Monaco,fr Ligue 1,21,1995,26.4,2,47,11,23.4,1.78,0.42,0.04,0.18,23.4,18,0,0,3.7,3.7,0.08,-1.7,-1.7,Matches,4dbd0916
1403,Mario Lemina,ga GAB,MF,Southampton,eng Premier League,23,1993,19.1,1,23,5,21.7,1.20,0.26,0.04,0.20,25.1,0,0,0,0.8,0.8,0.04,+0.2,+0.2,Matches,2b471f99
1404,Mauricio Lemos,uy URU,DF,Sassuolo,it Serie A,21,1995,7.8,1,8,4,50.0,1.03,0.51,0.13,0.25,20.7,2,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches,dbe5a587
1405,Mauricio Lemos,uy URU,DFMF,Las Palmas,es La Liga,21,1995,14.0,0,16,2,12.5,1.14,0.14,0.00,0.00,27.4,9,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches,dbe5a587
1406,Dylan Lempereur,fr FRA,DF,Metz,fr Ligue 1,18,1998,1.6,0,1,0,0.0,0.63,0.00,0.00,,28.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,47c2e669
1407,Clément Lenglet,fr FRA,DF,Sevilla,es La Liga,22,1995,33.3,3,14,5,35.7,0.42,0.15,0.21,0.60,8.3,0,0,0,2.6,2.6,0.19,+0.4,+0.4,Matches,4f28a6ff
1408,Aaron Lennon,eng ENG,MF,Burnley,eng Premier League,30,1987,12.4,0,10,4,40.0,0.81,0.32,0.00,0.00,16.8,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,2ff964a0
1409,Aaron Lennon,eng ENG,FWMF,Everton,eng Premier League,30,1987,8.8,0,4,1,25.0,0.45,0.11,0.00,0.00,15.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,2ff964a0
1410,Bernd Leno,de GER,GK,Leverkusen,de Bundesliga,25,1992,33.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2628fd2b
1411,Pedro León,es ESP,FWMF,Eibar,es La Liga,30,1986,10.3,0,24,7,29.2,2.33,0.68,0.00,0.00,25.0,4,0,0,1.2,1.2,0.05,-1.2,-1.2,Matches,d66b9872
1412,Sergio León,es ESP,FW,Betis,es La Liga,28,1989,22.0,11,64,26,40.6,2.91,1.18,0.17,0.42,14.9,2,0,1,11.0,10.2,0.16,0.0,+0.8,Matches,0a0cc13c
1413,Lukas Lerager,dk DEN,MF,Bordeaux,fr Ligue 1,24,1993,36.5,3,41,12,29.3,1.12,0.33,0.07,0.25,17.0,0,0,0,4.4,4.4,0.11,-1.4,-1.4,Matches,1b82f8df
1414,Mehdi Léris,dz ALG,MFFW,Chievo,it Serie A,19,1998,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7d3cbc67
1415,Jefferson Lerma,co COL,MF,Levante,es La Liga,22,1994,23.7,0,27,1,3.7,1.14,0.04,0.00,0.00,24.2,0,0,0,1.2,1.2,0.04,-1.2,-1.2,Matches,9b5ce51a
1416,Maxime Lestienne,be BEL,MF,Málaga,es La Liga,25,1992,7.4,0,11,1,9.1,1.48,0.13,0.00,0.00,14.1,0,0,0,1.2,1.2,0.11,-1.2,-1.2,Matches,ac290817
1417,Alexandre Letellier,fr FRA,GK,Angers,fr Ligue 1,26,1990,13.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,96fcd380
1418,Gaetano Letizia,it ITA,DF,Benevento,it Serie A,27,1990,23.8,1,22,5,22.7,0.92,0.21,0.05,0.20,27.1,1,0,0,0.8,0.8,0.04,+0.2,+0.2,Matches,3dd45b70
1419,Timo Letschert,nl NED,DF,Sassuolo,it Serie A,24,1993,4.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,be9938ed
1420,Robert Lewandowski,pl POL,FW,Bayern Munich,de Bundesliga,28,1988,24.1,29,120,48,40.0,4.97,1.99,0.19,0.48,13.9,5,6,7,27.9,22.4,0.19,+1.1,+0.6,Matches,8d78e732
1421,Igor Lewczuk,pl POL,DF,Bordeaux,fr Ligue 1,32,1985,4.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6b9f2f3e
1422,Stephan Lichtsteiner,ch SUI,DF,Juventus,it Serie A,33,1984,18.9,0,3,0,0.0,0.16,0.00,0.00,,30.5,0,0,1,0.9,0.1,0.03,-0.9,-0.1,Matches,99b1d0e6
1423,Dimitri Liénard,fr FRA,MFFW,Strasbourg,fr Ligue 1,29,1988,28.9,5,51,17,33.3,1.76,0.59,0.08,0.24,25.9,14,1,1,3.4,2.6,0.05,+1.6,+1.4,Matches,f7691f63
1424,Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,21,1996,9.6,0,2,0,0.0,0.21,0.00,0.00,,14.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,302527b2
1425,Lucas Lima,br BRA,DFFW,Nantes,fr Ligue 1,25,1991,29.5,2,32,7,21.9,1.08,0.24,0.06,0.29,25.4,12,0,0,1.4,1.4,0.04,+0.6,+0.6,Matches,0f52f925
1426,Victor Lindelöf,se SWE,DF,Manchester Utd,eng Premier League,23,1994,14.3,0,1,0,0.0,0.07,0.00,0.00,,34.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,f5deef4c
1427,Karol Linetty,pl POL,MF,Sampdoria,it Serie A,22,1995,23.8,3,26,7,26.9,1.09,0.29,0.12,0.43,19.8,0,0,0,2.2,2.2,0.09,+0.8,+0.8,Matches,d023d70f
1428,Jesse Lingard,eng ENG,MFFW,Manchester Utd,eng Premier League,24,1992,20.2,8,56,23,41.1,2.77,1.14,0.14,0.35,17.8,0,0,0,7.1,7.1,0.13,+0.9,+0.9,Matches,810e3c74
1429,Pol Lirola,es ESP,DFFW,Sassuolo,it Serie A,19,1997,22.5,0,7,2,28.6,0.31,0.09,0.00,0.00,25.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,ff800ed8
1430,Jake Livermore,eng ENG,MF,West Brom,eng Premier League,27,1989,29.7,2,15,4,26.7,0.50,0.13,0.13,0.50,18.2,0,0,0,2.3,2.3,0.16,-0.3,-0.3,Matches,b98570d1
1431,Raúl Lizoain,es ESP,GK,Las Palmas,es La Liga,26,1991,11.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f69e9eee
1432,Adem Ljajić,rs SRB,MFFW,Torino,it Serie A,25,1991,24.1,6,61,21,34.4,2.53,0.87,0.10,0.29,21.0,16,0,0,4.3,4.2,0.07,+1.7,+1.8,Matches,2648e18f
1433,Diego Llorente,es ESP,DF,Real Sociedad,es La Liga,23,1993,25.8,3,22,7,31.8,0.85,0.27,0.14,0.43,14.3,0,0,0,2.3,2.3,0.10,+0.7,+0.7,Matches,bba30585
1434,Fernando Llorente,es ESP,FWMF,Tottenham,eng Premier League,32,1985,2.6,1,6,2,33.3,2.27,0.76,0.17,0.50,12.5,0,0,0,1.0,1.0,0.17,0.0,0.0,Matches,82dbf623
1435,Marcos Llorente,es ESP,MF,Real Madrid,es La Liga,22,1995,6.1,0,6,0,0.0,0.99,0.00,0.00,,26.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,02c15616
1436,Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,30,1986,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8f62b6ee
1437,Giovani Lo Celso,ar ARG,MF,Paris S-G,fr Ligue 1,21,1996,19.7,4,38,14,36.8,1.93,0.71,0.11,0.29,21.8,0,0,0,2.8,2.8,0.07,+1.2,+1.2,Matches,d7553721
1438,Simone Lo Faso,it ITA,FW,Fiorentina,it Serie A,19,1998,0.4,0,2,0,0.0,5.00,0.00,0.00,,27.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,51c614fd
1439,Stanislav Lobotka,sk SVK,MF,Celta Vigo,es La Liga,22,1994,34.0,0,8,3,37.5,0.24,0.09,0.00,0.00,26.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,e1cbb531
1440,Jürgen Locadia,nl NED,FWMF,Brighton,eng Premier League,23,1993,2.5,1,6,1,16.7,2.41,0.40,0.17,1.00,18.1,0,0,0,1.1,1.1,0.18,-0.1,-0.1,Matches,6cc47ae1
1441,Manuel Locatelli,it ITA,MF,Milan,it Serie A,19,1998,7.6,0,11,5,45.5,1.45,0.66,0.00,0.00,27.0,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches,a8a874f1
1442,Ruben Loftus-Cheek,eng ENG,MF,Crystal Palace,eng Premier League,21,1996,20.8,2,32,7,21.9,1.54,0.34,0.06,0.29,16.4,0,0,0,3.5,3.5,0.11,-1.5,-1.5,Matches,e97fd090
1443,Enzo Loiodice,fr FRA,MF,Dijon,fr Ligue 1,16,2000,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6bca20fe
1444,Joe Lolley,eng ENG,FWMF,Huddersfield,eng Premier League,24,1992,2.5,1,3,3,100.0,1.22,1.22,0.33,0.33,20.0,0,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches,c5f13182
1445,David Lombán,es ESP,DF,Eibar,es La Liga,30,1987,11.0,1,4,1,25.0,0.36,0.09,0.25,1.00,13.2,0,0,0,0.2,0.2,0.06,+0.8,+0.8,Matches,b43b81f1
1446,Cristiano Lombardi,it ITA,MFDF,Benevento,it Serie A,21,1995,12.4,0,17,5,29.4,1.38,0.40,0.00,0.00,15.7,0,0,0,1.1,1.1,0.07,-1.1,-1.1,Matches,f124b4c9
1447,Kevin Long,ie IRL,DF,Burnley,eng Premier League,26,1990,16.0,1,10,2,20.0,0.62,0.12,0.10,0.50,7.6,0,0,0,1.2,1.2,0.12,-0.2,-0.2,Matches,5a4280b1
1448,Shane Long,ie IRL,FW,Southampton,eng Premier League,30,1987,17.6,2,33,13,39.4,1.88,0.74,0.06,0.15,12.5,0,0,0,3.7,3.7,0.11,-1.7,-1.7,Matches,9f472354
1449,Ademola Lookman,ng NGA,FWMF,Everton,eng Premier League,19,1997,1.8,0,3,0,0.0,1.70,0.00,0.00,,20.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,7c104bb7
1450,Ademola Lookman,ng NGA,MFFW,RB Leipzig,de Bundesliga,19,1997,6.4,5,13,6,46.2,2.04,0.94,0.38,0.83,14.1,1,0,0,3.1,3.1,0.24,+1.9,+1.9,Matches,7c104bb7
1451,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,26,1990,34.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f00de885
1452,Rony Lopes,pt POR,FWMF,Monaco,fr Ligue 1,21,1995,28.1,15,68,31,45.6,2.42,1.10,0.22,0.48,17.8,2,0,0,10.1,10.1,0.15,+4.9,+4.9,Matches,7c2965bb
1453,Adrián López,es ESP,FWMF,La Coruña,es La Liga,29,1988,26.1,9,61,19,31.1,2.34,0.73,0.15,0.47,12.8,1,0,0,7.7,7.7,0.13,+1.3,+1.3,Matches,88a359d4
1454,Alberto López,es ESP,DF,Málaga,es La Liga,22,1995,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c0de5ff5
1455,Andoni López,es ESP,DF,Athletic Club,es La Liga,21,1996,1.0,0,1,0,0.0,1.00,0.00,0.00,,20.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,fc8cb238
1456,David López,es ESP,DFMF,Espanyol,es La Liga,27,1989,37.0,1,14,6,42.9,0.38,0.16,0.07,0.17,13.0,0,0,0,1.7,1.7,0.12,-0.7,-0.7,Matches,f03f284b
1457,Diego López,es ESP,GK,Espanyol,es La Liga,35,1981,9.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,73683fa9
1458,Iván López,es ESP,DF,Levante,es La Liga,23,1993,1.9,0,1,0,0.0,0.52,0.00,0.00,,29.3,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,576575e5
1459,Javi López,es ESP,DF,Espanyol,es La Liga,31,1986,10.7,0,3,0,0.0,0.28,0.00,0.00,,29.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,ffad706e
1460,Lisandro López,ar ARG,DF,Inter,it Serie A,27,1989,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8320fe65
1461,Maxi López,ar ARG,FW,Udinese,it Serie A,33,1984,18.7,2,28,8,28.6,1.50,0.43,0.04,0.13,15.6,0,1,1,4.2,3.4,0.12,-2.2,-2.4,Matches,ad469944
1462,Maxime Lopez,fr FRA,MFFW,Marseille,fr Ligue 1,19,1997,15.3,0,10,4,40.0,0.65,0.26,0.00,0.00,21.9,1,0,0,0.9,0.9,0.09,-0.9,-0.9,Matches,20094685
1463,Pedro López Muñoz,es ESP,DF,Levante,es La Liga,33,1983,17.7,0,3,0,0.0,0.17,0.00,0.00,,27.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,a60823a4
1464,Pau López,es ESP,GK,Espanyol,es La Liga,22,1994,28.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,20b9f052
1465,Pedro López,es ESP,GK,Betis,es La Liga,22,1995,4.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,bfa29677
1466,Víctor López,es ESP,MF,Alavés,es La Liga,20,1997,0.7,0,1,0,0.0,1.50,0.00,0.00,,19.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,a68856b5
1467,Jonas Lössl,dk DEN,GK,Huddersfield,eng Premier League,28,1989,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,939bc634
1468,Dejan Lovren,hr CRO,DF,Liverpool,eng Premier League,28,1989,23.6,2,14,4,28.6,0.59,0.17,0.14,0.50,9.3,0,0,0,1.4,1.4,0.10,+0.6,+0.6,Matches,1a2935f6
1469,Chris Löwe,de GER,DF,Huddersfield,eng Premier League,28,1989,17.6,0,8,2,25.0,0.45,0.11,0.00,0.00,25.3,3,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches,c6896eab
1470,Matthew Lowton,eng ENG,DF,Burnley,eng Premier League,28,1989,25.5,0,4,1,25.0,0.16,0.04,0.00,0.00,25.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,9a9c05db
1471,Anthony Lozano,hn HON,FWMF,Girona,es La Liga,24,1993,5.2,1,16,7,43.8,3.06,1.34,0.06,0.14,16.3,0,0,0,1.4,1.4,0.09,-0.4,-0.4,Matches,38699c72
1472,Fabio Lucioni,it ITA,DF,Benevento,it Serie A,29,1987,8.0,0,6,1,16.7,0.75,0.12,0.00,0.00,9.2,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches,8efa621b
1473,Filipe Luís,br BRA,DF,Atlético Madrid,es La Liga,31,1985,18.4,1,5,2,40.0,0.27,0.11,0.20,0.50,21.1,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches,e4ed2628
1474,José Luis Gayà,es ESP,DF,Valencia,es La Liga,22,1995,32.4,0,14,3,21.4,0.43,0.09,0.00,0.00,22.9,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches,b05e2dbd
1475,José Luis Morales,es ESP,MFFW,Levante,es La Liga,30,1987,34.0,10,58,22,37.9,1.71,0.65,0.12,0.32,18.2,0,3,3,10.2,7.9,0.14,-0.2,-0.9,Matches,4a478107
1476,José Luis Palomino,ar ARG,DF,Atalanta,it Serie A,27,1990,22.0,1,9,2,22.2,0.41,0.09,0.11,0.50,9.6,0,0,0,1.7,1.7,0.19,-0.7,-0.7,Matches,921f6058
1477,Luisinho,pt POR,DF,La Coruña,es La Liga,32,1985,29.1,1,16,4,25.0,0.55,0.14,0.06,0.25,24.4,0,0,0,0.5,0.5,0.03,+0.5,+0.5,Matches,a7f00c8c
1478,David Luiz,br BRA,DFMF,Chelsea,eng Premier League,30,1987,9.3,1,11,4,36.4,1.18,0.43,0.09,0.25,22.7,2,0,0,0.9,0.9,0.08,+0.1,+0.1,Matches,c0e27d1a
1479,Douglas Luiz,br BRA,MFFW,Girona,es La Liga,19,1998,3.4,0,10,5,50.0,2.91,1.46,0.00,0.00,18.7,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches,6f7d826d
1480,Everton Luiz,br BRA,MF,SPAL,it Serie A,29,1988,7.1,0,1,0,0.0,0.14,0.00,0.00,,33.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,3799e138
1481,Jordan Lukaku,be BEL,DF,Lazio,it Serie A,23,1994,15.1,1,6,3,50.0,0.40,0.20,0.17,0.33,15.2,0,0,0,1.2,1.2,0.20,-0.2,-0.2,Matches,0cd0e21b
1482,Romelu Lukaku,be BEL,FW,Manchester Utd,eng Premier League,24,1993,31.9,16,85,41,48.2,2.67,1.29,0.19,0.39,13.1,3,0,1,13.2,12.4,0.15,+2.8,+3.6,Matches,5eae500a
1483,Lars Lukas Mai,de GER,DF,Bayern Munich,de Bundesliga,17,2000,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,95173427
1484,Dodi Lukebakio,be BEL,MFFW,Watford,eng Premier League,19,1997,0.2,0,1,0,0.0,5.63,0.00,0.00,,29.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,0c61c77c
