,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
274,Bartosz Bereszyński,pl POL,DF,Sampdoria,it Serie A,25,1992,27.6,0,5,0,0.0,0.18,0.00,0.00,,27.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,61b3978f
275,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,eng Premier League,26,1990,31.5,2,54,18,33.3,1.72,0.57,0.04,0.11,21.7,6,0,0,3.5,3.5,0.07,-1.5,-1.5,Matches,f72293fc
276,Markel Bergara,es ESP,MF,Getafe,es La Liga,31,1986,16.3,4,16,9,56.3,0.98,0.55,0.25,0.44,11.5,0,0,0,2.8,2.8,0.20,+1.2,+1.2,Matches,04a65a8f
277,Emil Berggreen,dk DEN,FW,Mainz 05,de Bundesliga,24,1993,7.4,4,13,8,61.5,1.75,1.08,0.31,0.50,13.1,0,0,0,2.0,2.0,0.15,+2.0,+2.0,Matches,8be4fd6a
278,Robert Berić,si SVN,FW,Saint-Étienne,fr Ligue 1,26,1991,11.6,7,23,12,52.2,1.99,1.04,0.26,0.50,14.6,0,1,2,6.4,5.0,0.22,+0.6,+1.0,Matches,9001138b
279,Kévin Bérigaud,fr FRA,FWMF,Montpellier,fr Ligue 1,29,1988,3.0,0,4,0,0.0,1.33,0.00,0.00,,12.7,0,0,0,1.0,1.0,0.24,-1.0,-1.0,Matches,3250c6cd
280,Etrit Berisha,al ALB,GK,Atalanta,it Serie A,28,1989,31.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ee833569
281,Federico Bernardeschi,it ITA,FWMF,Juventus,it Serie A,23,1994,9.4,4,27,11,40.7,2.87,1.17,0.15,0.36,19.8,2,0,0,2.8,2.8,0.10,+1.2,+1.2,Matches,ee93c1a9
282,Bernardo,br BRA,DF,RB Leipzig,de Bundesliga,22,1995,15.0,1,12,4,33.3,0.80,0.27,0.08,0.25,19.0,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches,17370b95
283,Juan Bernat,es ESP,DFFW,Bayern Munich,de Bundesliga,24,1993,9.9,0,4,0,0.0,0.41,0.00,0.00,,13.0,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches,433dc9a2
284,Andrea Bertolacci,it ITA,MF,Genoa,it Serie A,26,1991,32.2,1,15,2,13.3,0.47,0.06,0.07,0.50,18.0,0,0,0,0.9,0.9,0.06,+0.1,+0.1,Matches,c75b6a02
285,Ryan Bertrand,eng ENG,DF,Southampton,eng Premier League,27,1989,34.8,0,20,2,10.0,0.57,0.06,0.00,0.00,19.5,3,0,0,1.7,1.7,0.08,-1.7,-1.7,Matches,01226327
286,Muhamed Bešić,ba BIH,MF,Everton,eng Premier League,24,1992,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7ca9f0f0
