,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Outcomes,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,-9999
1148,Andrés Iniesta,es ESP,MF,Barcelona,es La Liga,33,1984,20.3,1562,1518,29,24,14,27,23,4,1,0,0,0,1352,15,22,Matches,cfd65a29
1149,Lorenzo Insigne,it ITA,FW,Napoli,it Serie A,26,1991,34.3,2573,2446,122,23,23,6,74,54,8,2,4,0,2137,5,52,Matches,2f557579
1150,Emiliano Insúa,ar ARG,DF,Stuttgart,de Bundesliga,28,1989,23.4,1076,839,230,10,0,3,89,215,5,2,3,0,767,7,36,Matches,f3cccffe
1151,Pablo Insua,es ESP,DF,Schalke 04,de Bundesliga,23,1993,0.3,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches,4b5e7e90
1152,Takashi Inui,jp JPN,MFFW,Eibar,es La Liga,29,1988,29.2,936,891,40,5,4,16,67,23,12,1,7,1,710,5,27,Matches,61bd33d0
1153,Artur Ioniță,md MDA,MF,Cagliari,it Serie A,26,1990,29.7,982,973,5,1,0,14,36,4,0,0,0,0,742,4,35,Matches,cedb3e36
1154,Gorka Iraizoz,es ESP,GK,Girona,es La Liga,36,1981,8.5,249,159,89,37,0,0,0,0,0,0,0,0,145,1,0,Matches,26f2473f
1155,Stephen Ireland,ie IRL,MFFW,Stoke City,eng Premier League,30,1986,1.5,70,63,5,0,1,1,0,2,0,0,0,0,57,2,1,Matches,bcf30f17
1156,Carlos Isaac,es ESP,DF,Atlético Madrid,es La Liga,19,1998,0.7,44,34,10,1,0,0,3,9,0,0,0,0,36,0,2,Matches,3e5a168c
1157,Alexander Isak,se SWE,FWMF,Dortmund,de Bundesliga,17,1999,1.3,26,24,2,0,0,0,1,1,0,0,0,0,19,0,2,Matches,8e92be30
1158,Isco,es ESP,MF,Real Madrid,es La Liga,25,1992,19.7,1636,1527,101,23,10,19,94,13,51,11,12,0,1387,8,35,Matches,a0b4bb3e
1159,Tatsuya Ito,jp JPN,MFFW,Hamburger SV,de Bundesliga,20,1997,11.2,389,377,12,3,1,3,27,9,0,0,0,0,296,0,12,Matches,6743cef5
1160,Gian-Luca Itter,de GER,DF,Wolfsburg,de Bundesliga,18,1999,4.6,183,153,30,4,0,0,9,26,0,0,0,0,137,0,2,Matches,e6c15f6e
1161,Manuel Iturra,cl CHI,MF,Málaga,es La Liga,33,1984,17.6,606,582,21,13,1,7,9,7,1,0,1,0,478,3,3,Matches,000b3da6
1162,Ander Iturraspe,es ESP,MF,Athletic Club,es La Liga,28,1989,21.2,1275,1127,138,92,3,19,74,1,41,21,19,0,1013,10,13,Matches,6dce77a5
1163,Ivi,es ESP,MFFW,Levante,es La Liga,23,1994,19.6,674,606,65,19,5,16,101,8,34,16,12,0,442,3,23,Matches,d2fa73e7
1164,Alex Iwobi,ng NGA,MFFW,Arsenal,eng Premier League,21,1996,20.3,1171,1151,17,3,12,5,20,11,1,0,1,0,997,3,27,Matches,6ca5ec4b
1165,José Izquierdo,co COL,MFFW,Brighton,eng Premier League,25,1992,22.0,550,545,2,0,0,0,23,1,0,0,0,0,415,3,11,Matches,ca2bc3df
1166,Armando Izzo,it ITA,DF,Genoa,it Serie A,25,1992,15.4,869,776,90,40,0,12,14,49,1,0,1,0,650,3,10,Matches,89976232
1167,Koo Ja-cheol,kr KOR,MF,Augsburg,de Bundesliga,28,1989,22.7,794,779,9,4,0,10,7,1,0,0,0,0,627,6,28,Matches,3c05e082
1168,Paul Jaeckel,de GER,DF,Wolfsburg,de Bundesliga,19,1998,3.0,149,146,3,2,0,1,4,1,0,0,0,0,113,0,1,Matches,a93b6f4e
1169,Phil Jagielka,eng ENG,DF,Everton,eng Premier League,34,1982,22.9,983,932,43,38,0,15,4,5,0,0,0,0,737,8,5,Matches,3233eefd
1170,Kilian Jakob,de GER,FW,Augsburg,de Bundesliga,19,1998,0.6,12,12,0,0,0,0,4,0,0,0,0,0,6,0,3,Matches,99d6044d
1171,Eldin Jakupović,ch SUI,GK,Leicester City,eng Premier League,32,1984,2.0,56,36,19,5,0,0,0,0,0,0,0,0,35,1,0,Matches,1148323a
1172,Christophe Jallet,fr FRA,DF,Nice,fr Ligue 1,33,1983,13.0,835,718,113,13,0,9,22,100,0,0,0,0,703,4,10,Matches,46d50339
1173,Ablie Jallow,gm GAM,FW,Metz,fr Ligue 1,18,1998,1.4,45,45,0,0,0,0,3,0,0,0,0,0,36,0,2,Matches,1bc6135b
1174,Matty James,eng ENG,MF,Leicester City,eng Premier League,26,1991,11.0,448,437,11,1,1,4,2,0,0,0,0,0,363,0,5,Matches,ebd0a048
1175,Vasilije Janjicic,ch SUI,MF,Hamburger SV,de Bundesliga,18,1998,3.6,150,147,3,2,0,0,0,1,0,0,0,0,121,0,4,Matches,8279c033
1176,Christoph Janker,de GER,DFMF,Augsburg,de Bundesliga,32,1985,0.9,14,12,2,0,0,0,0,2,0,0,0,0,8,0,2,Matches,cf01fe3a
1177,Saidy Janko,gm GAM,DF,Saint-Étienne,fr Ligue 1,21,1995,15.8,813,618,194,10,0,1,57,183,1,0,0,0,623,1,33,Matches,689c9cf4
1178,Jakub Jankto,cz CZE,MFFW,Udinese,it Serie A,21,1996,29.5,1162,1065,95,18,5,8,116,20,48,19,22,0,827,2,28,Matches,1ea5f91c
1179,Daryl Janmaat,nl NED,DF,Watford,eng Premier League,28,1989,20.2,1041,834,202,2,0,7,68,200,0,0,0,0,750,5,17,Matches,45da6694
1180,Vincent Janssen,nl NED,DF,Tottenham,eng Premier League,23,1994,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,31dce0c8
1181,Tony Jantschke,de GER,DF,M'Gladbach,de Bundesliga,27,1990,8.1,434,338,94,10,0,1,11,84,0,0,0,0,309,2,18,Matches,34b54da7
1182,Adnan Januzaj,be BEL,FW,Real Sociedad,es La Liga,22,1995,17.5,552,485,58,13,2,10,59,11,34,12,18,0,407,9,20,Matches,4737cebe
1183,Nicolas Janvier,fr FRA,MF,Rennes,fr Ligue 1,18,1998,0.8,46,46,0,0,0,0,0,0,0,0,0,0,37,0,0,Matches,22a62523
1184,Paweł Jaroszyński,pl POL,DF,Chievo,it Serie A,22,1994,9.0,409,304,98,11,0,3,45,84,3,3,0,0,243,7,17,Matches,958a601f
1185,Rune Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,32,1984,31.0,1134,784,347,98,0,4,0,0,0,0,0,0,634,3,0,Matches,27d2618c
1186,Jason,es ESP,FWMF,Levante,es La Liga,23,1994,19.8,576,543,27,4,5,3,63,7,14,1,10,0,370,6,38,Matches,9038c2a1
1187,Bakery Jatta,gm GAM,MFFW,Hamburger SV,de Bundesliga,19,1998,3.3,104,102,2,0,0,0,5,2,0,0,0,0,65,0,6,Matches,34c313d5
1188,Corentin Jean,fr FRA,FWMF,Toulouse,fr Ligue 1,22,1995,18.8,523,459,63,22,2,5,80,9,25,8,13,2,343,1,26,Matches,7d9b37bf
1189,Benjamin Jeannot,fr FRA,FW,Dijon,fr Ligue 1,25,1992,15.6,354,314,40,1,3,3,5,7,0,0,0,0,250,0,7,Matches,2e52206e
1190,Tin Jedvaj,hr CRO,DF,Leverkusen,de Bundesliga,21,1995,6.7,365,323,40,10,0,4,9,30,0,0,0,0,283,2,16,Matches,f820504e
1191,Jemerson,br BRA,DF,Monaco,fr Ligue 1,24,1992,31.7,1360,1296,61,60,0,11,0,1,0,0,0,0,1182,3,7,Matches,7cab69b5
1192,Jesé,es ESP,FWMF,Stoke City,eng Premier League,24,1993,6.8,162,143,17,2,0,1,13,1,3,1,1,0,118,2,8,Matches,4a537185
1193,Gabriel Jesus,br BRA,FW,Manchester City,eng Premier League,20,1997,18.5,596,569,27,2,7,1,2,3,0,0,0,0,474,0,16,Matches,b66315ae
1194,Juan Jesus,br BRA,DF,Roma,it Serie A,26,1991,18.4,1196,1134,61,35,1,13,5,26,0,0,0,0,1037,1,17,Matches,79083382
1195,Álvaro Jiménez,es ESP,MFFW,Getafe,es La Liga,22,1995,5.9,146,143,2,0,2,1,17,1,0,0,0,0,82,1,7,Matches,5f5501ed
1196,Joaquín,es ESP,MFFW,Betis,es La Liga,36,1981,27.5,1348,1236,106,31,9,21,94,15,60,24,11,3,1114,6,22,Matches,4c5b14d2
1197,Aron Jóhannsson,us USA,MFFW,Werder Bremen,de Bundesliga,26,1990,3.1,102,98,4,2,1,0,5,2,0,0,0,0,80,0,3,Matches,c0dc9fc7
1198,Fabian Johnson,us USA,MFDF,M'Gladbach,de Bundesliga,29,1987,5.2,127,112,14,1,0,0,6,13,0,0,0,0,81,1,2,Matches,76e5da9d
1199,Glen Johnson,eng ENG,DF,Stoke City,eng Premier League,32,1984,6.1,242,187,54,9,0,1,8,45,0,0,0,0,159,1,5,Matches,8cceca90
1200,Karl-Johan Johnsson,se SWE,GK,Guingamp,fr Ligue 1,27,1990,38.0,1178,743,432,124,0,9,0,0,0,0,0,0,749,3,0,Matches,a56bd2ee
1201,Miloš Jojić,rs SRB,MF,Köln,de Bundesliga,25,1992,16.2,699,606,91,33,4,2,86,6,49,22,23,1,494,2,19,Matches,fb59286d
1202,Jonathas,br BRA,FW,Hannover 96,de Bundesliga,28,1989,7.0,164,141,21,0,0,2,5,1,0,0,0,0,102,2,2,Matches,531807b3
1203,Phil Jones,eng ENG,DF,Manchester Utd,eng Premier League,25,1992,21.9,1090,1074,14,11,0,0,2,3,0,0,0,0,991,2,6,Matches,def899bd
1204,Nigel de Jong,nl NED,MF,Mainz 05,de Bundesliga,32,1984,8.2,360,336,24,24,0,2,0,0,0,0,0,0,300,0,4,Matches,a0e209bc
1205,Jony,es ESP,FWMF,Málaga,es La Liga,26,1991,2.4,107,91,16,3,1,1,35,3,10,2,6,0,53,0,10,Matches,244f57b9
1206,Joan Jordán,es ESP,MF,Eibar,es La Liga,23,1994,27.0,1301,1180,116,46,3,31,114,1,66,20,40,1,1013,5,16,Matches,2a0c8ba4
1207,Jorge,br BRA,DF,Monaco,fr Ligue 1,21,1996,21.3,990,792,196,16,1,4,61,180,0,0,0,0,734,2,35,Matches,13c44fc5
1208,Jorginho,it ITA,MF,Napoli,it Serie A,25,1991,29.4,3229,3144,73,73,18,3,20,0,0,0,0,0,2863,12,20,Matches,45db685d
1209,Willian José,br BRA,FW,Real Sociedad,es La Liga,25,1991,30.8,864,787,72,3,9,24,15,0,2,1,1,0,638,5,27,Matches,d87e2cae
1210,Joselu,es ESP,FW,Newcastle Utd,eng Premier League,27,1990,19.0,605,594,6,0,1,4,6,1,0,0,0,0,374,5,10,Matches,6265208f
1211,Yann Jouffre,fr FRA,FWMF,Metz,fr Ligue 1,33,1984,3.1,190,162,26,8,0,4,18,8,10,5,2,0,158,2,1,Matches,5d66c10d
1212,Vukašin Jovanović,rs SRB,DF,Bordeaux,fr Ligue 1,21,1996,16.0,735,710,23,20,1,9,1,3,0,0,0,0,654,2,2,Matches,0eb03d5b
1213,Stevan Jovetić,me MNE,FW,Monaco,fr Ligue 1,27,1989,8.4,257,250,5,0,3,2,4,3,0,0,0,0,172,2,7,Matches,f36c432f
1214,Luka Jović,rs SRB,FW,Eint Frankfurt,de Bundesliga,19,1997,10.4,249,230,17,1,0,3,5,0,0,0,0,0,179,2,7,Matches,4d8cd038
1215,Jozabed,es ESP,MF,Celta Vigo,es La Liga,26,1991,16.4,888,876,7,4,5,19,7,1,2,0,1,0,763,5,15,Matches,9b337c7c
1216,Juanfran,es ESP,DF,La Coruña,es La Liga,28,1988,34.0,1869,1537,326,25,1,14,161,299,2,0,1,0,1335,6,56,Matches,9ba48d64
1217,Juanfran,es ESP,DF,Atlético Madrid,es La Liga,32,1985,14.5,681,534,144,6,1,1,36,138,0,0,0,0,536,3,16,Matches,cfd8d664
1218,Juankar,es ESP,DF,Málaga,es La Liga,27,1990,8.7,420,332,87,8,1,1,24,79,0,0,0,0,309,1,4,Matches,e9a12436
1219,Juanmi,es ESP,FWMF,Real Sociedad,es La Liga,24,1993,16.5,356,345,11,0,0,2,5,3,0,0,0,0,286,0,10,Matches,84399660
1220,Juanpe,es ESP,DF,Girona,es La Liga,26,1991,34.1,1348,1262,81,77,0,72,4,4,0,0,0,0,1029,5,9,Matches,1633fc8a
1221,Juanpi,ve VEN,MFFW,Málaga,es La Liga,23,1994,6.8,225,201,23,11,2,4,13,2,7,3,3,0,177,1,7,Matches,d79afcfc
1222,Mariano Julio Izco,ar ARG,MF,Crotone,it Serie A,34,1983,2.0,75,73,2,1,1,0,0,1,0,0,0,0,59,0,2,Matches,0d2bdb4b
1223,Christopher Jullien,fr FRA,DF,Toulouse,fr Ligue 1,24,1993,28.9,1248,1191,52,48,0,29,2,4,0,0,0,0,983,5,5,Matches,f323d995
1224,David Juncà,es ESP,DF,Eibar,es La Liga,23,1993,10.0,643,515,126,11,1,5,71,107,8,0,8,0,447,2,14,Matches,de7d40d6
1225,Gideon Jung,de GER,MFDF,Hamburger SV,de Bundesliga,22,1994,28.6,1048,1014,30,30,2,8,4,0,0,0,0,0,815,4,22,Matches,a2e7de6f
1226,Sebastian Jung,de GER,DF,Wolfsburg,de Bundesliga,27,1990,0.9,29,24,5,1,0,1,0,4,0,0,0,0,17,0,1,Matches,86b30561
1227,Zlatko Junuzović,at AUT,MFFW,Werder Bremen,de Bundesliga,29,1987,18.1,781,684,93,27,1,7,82,15,49,23,21,0,544,4,35,Matches,dba67bc4
1228,Mathias Jørgensen,dk DEN,DF,Huddersfield,eng Premier League,27,1990,38.0,1576,1507,63,54,2,4,0,9,0,0,0,0,1206,6,18,Matches,0db5d2c8
1229,Christian Kabasele,be BEL,DF,Watford,eng Premier League,26,1991,25.9,910,876,30,28,0,10,1,2,0,0,0,0,677,4,7,Matches,914ab9a1
1230,Younès Kaboul,fr FRA,DF,Watford,eng Premier League,31,1986,1.7,76,76,0,0,0,1,0,0,0,0,0,0,52,0,2,Matches,3680d723
1231,Alexander Kačaniklić,se SWE,MFFW,Nantes,fr Ligue 1,25,1991,3.5,94,90,4,0,1,0,12,1,2,2,0,0,64,0,1,Matches,8ba3a754
1232,Gojko Kačar,rs SRB,DF,Augsburg,de Bundesliga,30,1987,2.5,75,70,5,5,0,0,1,0,0,0,0,0,56,0,0,Matches,cc58c4ea
1233,Elias Kachunga,cd COD,FWMF,Huddersfield,eng Premier League,25,1992,14.8,368,362,6,1,1,0,24,5,0,0,0,0,231,0,33,Matches,5bddccc9
1234,Pavel Kadeřábek,cz CZE,FWDF,Hoffenheim,de Bundesliga,25,1992,24.4,1104,877,223,5,1,2,85,218,0,0,0,0,799,4,48,Matches,79c90e45
1235,Shinji Kagawa,jp JPN,MF,Dortmund,de Bundesliga,28,1989,13.0,771,716,53,24,0,5,36,6,22,10,8,2,650,2,10,Matches,5afafbfe
1236,Sullay Kaikai,sl SLE,MF,Crystal Palace,eng Premier League,21,1995,0.2,8,5,3,1,0,0,2,0,2,0,0,0,4,0,0,Matches,fc166e49
1237,Florian Kainz,at AUT,MFFW,Werder Bremen,de Bundesliga,24,1992,19.0,784,696,84,15,2,16,116,30,39,15,23,0,543,4,44,Matches,94c18565
1238,Dominik Kaiser,de GER,MFFW,RB Leipzig,de Bundesliga,28,1988,3.1,163,136,26,7,0,0,18,13,6,4,2,0,114,1,6,Matches,733fecf1
1239,Gaël Kakuta,cd COD,MFFW,Amiens,fr Ligue 1,26,1991,34.3,1420,1241,162,64,10,8,173,9,82,24,43,0,895,17,54,Matches,5b1bf5e3
1240,Nikola Kalinić,hr CRO,FW,Milan,it Serie A,29,1988,20.1,378,333,45,1,1,0,1,1,0,0,0,0,301,0,15,Matches,d4931a5a
1241,Salomon Kalou,ci CIV,FWMF,Hertha BSC,de Bundesliga,31,1985,24.5,625,610,10,0,1,2,16,4,0,0,0,0,431,5,37,Matches,2042d931
1242,Daichi Kamada,jp JPN,MFFW,Eint Frankfurt,de Bundesliga,20,1996,1.6,32,31,1,0,0,1,1,0,0,0,0,0,27,0,1,Matches,15b287da
1243,François Kamano,gn GUI,FW,Bordeaux,fr Ligue 1,21,1996,22.4,686,665,19,4,4,5,60,3,10,7,1,0,529,2,24,Matches,81d3318f
1244,Bingourou Kamara,sn SEN,GK,Strasbourg,fr Ligue 1,20,1996,18.8,619,403,215,47,0,1,0,0,0,0,0,0,389,1,0,Matches,3814120d
1245,Boubacar Kamara,fr FRA,DFMF,Marseille,fr Ligue 1,17,1999,5.1,288,263,23,11,0,1,2,12,0,0,0,0,252,2,1,Matches,cc77354e
1246,Marcin Kamiński,pl POL,DF,Stuttgart,de Bundesliga,25,1992,12.6,820,797,20,15,0,5,8,4,0,0,0,0,690,3,14,Matches,463503e2
1247,Kevin Kampl,si SVN,MF,RB Leipzig,de Bundesliga,26,1990,22.4,1250,1129,114,45,3,2,80,18,51,20,20,1,1033,7,27,Matches,b825a650
1248,Kevin Kampl,si SVN,MF,Leverkusen,de Bundesliga,26,1990,0.3,34,33,1,1,0,1,0,0,0,0,0,0,30,0,2,Matches,b825a650
1249,Harry Kane,eng ENG,FW,Tottenham,eng Premier League,24,1993,34.2,696,658,28,4,13,26,20,9,1,0,0,0,477,10,30,Matches,21a66f6a
1250,Wilfried Kanga,ci CIV,FWMF,Angers,fr Ligue 1,19,1998,1.9,34,30,4,0,0,0,2,0,0,0,0,0,26,0,1,Matches,b4c816a9
1251,Mamadou Kanouté,sn SEN,FWMF,Benevento,it Serie A,23,1993,0.4,19,16,3,0,0,0,0,3,0,0,0,0,17,0,0,Matches,3d5ed93d
1252,N'Golo Kanté,fr FRA,MF,Chelsea,eng Premier League,26,1991,33.3,2174,2143,23,20,8,20,13,3,0,0,0,0,1924,8,43,Matches,b9fbae28
1253,Bartosz Kapustka,pl POL,FWMF,Freiburg,de Bundesliga,20,1996,2.6,74,74,0,0,0,1,5,0,0,0,0,0,37,0,9,Matches,7364c4d1
1254,Kenan Karaman,tr TUR,MFFW,Hannover 96,de Bundesliga,23,1994,9.5,269,266,1,0,0,1,13,0,1,0,1,0,197,2,10,Matches,8f0f2230
1255,Yann Karamoh,fr FRA,FWMF,Inter,it Serie A,19,1998,5.4,251,236,15,1,1,1,31,11,3,0,0,0,194,0,8,Matches,8b66d9cc
1256,Loris Karius,de GER,GK,Liverpool,eng Premier League,24,1993,19.0,630,487,140,37,0,1,0,0,0,0,0,0,455,3,1,Matches,32e7ce92
1257,Orestis Karnezis,gr GRE,GK,Watford,eng Premier League,32,1985,14.4,404,237,167,86,0,0,0,0,0,0,0,0,198,0,0,Matches,85b011bb
1258,Rick Karsdorp,nl NED,DF,Roma,it Serie A,22,1995,0.9,63,51,11,1,0,0,2,10,0,0,0,0,48,1,2,Matches,9f84febe
1259,Aleksandar Katai,rs SRB,MFDF,Alavés,es La Liga,26,1991,0.6,10,9,0,0,0,0,0,0,0,0,0,0,8,1,0,Matches,d5127c3f
1260,Florian Kath,de GER,FWMF,Freiburg,de Bundesliga,22,1994,7.5,209,204,4,0,0,3,11,4,0,0,0,0,135,1,13,Matches,6a81a181
1261,Ole Käuper,de GER,MF,Werder Bremen,de Bundesliga,20,1997,0.8,32,32,0,0,0,0,0,0,0,0,0,0,22,0,2,Matches,e5d652c1
1262,Eiji Kawashima,jp JPN,GK,Metz,fr Ligue 1,34,1983,28.5,893,531,361,124,0,1,0,0,0,0,0,0,503,1,2,Matches,a4527d33
1263,Beram Kayal,il ISR,MF,Brighton,eng Premier League,29,1988,8.3,235,224,9,0,0,2,5,1,0,0,0,0,182,2,5,Matches,26679cdf
1264,Joris Kayembe,be BEL,FWMF,Nantes,fr Ligue 1,22,1994,1.0,23,23,0,0,0,0,4,0,0,0,0,0,17,0,1,Matches,4657faba
1265,Olarenwaju Kayode,ng NGA,FWMF,Girona,es La Liga,24,1993,4.3,58,54,4,0,2,1,4,0,0,0,0,0,36,0,3,Matches,d3272fba
1266,Moise Kean,it ITA,FW,Hellas Verona,it Serie A,17,2000,12.6,207,184,20,0,0,2,13,3,0,0,0,0,149,3,12,Matches,3d50bcdb
1267,Michael Keane,eng ENG,DF,Everton,eng Premier League,24,1993,28.4,1170,1148,18,13,0,17,4,5,0,0,0,0,905,4,17,Matches,c5b7c315
1268,Thilo Kehrer,de GER,DF,Schalke 04,de Bundesliga,20,1996,26.3,1230,1170,56,27,0,11,3,29,0,0,0,0,1018,4,10,Matches,51dbeea9
1269,Cheick Keita,ml MLI,DF,Bologna,it Serie A,21,1996,1.4,33,26,7,0,0,0,0,7,0,0,0,0,29,0,1,Matches,82f32d55
1270,Naby Keïta,gn GUI,MF,RB Leipzig,de Bundesliga,22,1995,21.8,1242,1190,41,33,12,0,18,3,5,0,3,0,995,11,34,Matches,f25c8e3a
1271,Keko,es ESP,MFFW,Málaga,es La Liga,25,1991,13.4,395,382,9,2,0,4,41,7,0,0,0,0,271,4,20,Matches,1512328c
1272,Martin Kelly,eng ENG,DF,Crystal Palace,eng Premier League,27,1990,13.3,394,344,48,5,0,1,6,43,0,0,0,0,284,2,5,Matches,d7492450
1273,Marc-Oliver Kempf,de GER,DF,Freiburg,de Bundesliga,22,1995,10.0,516,492,22,20,0,12,0,2,0,0,0,0,412,2,4,Matches,815c314f
1274,Kenedy,br BRA,MFDF,Newcastle Utd,eng Premier League,21,1996,11.4,408,361,46,6,2,3,38,18,22,12,4,1,297,1,19,Matches,5eebbfdf
1275,Jonjoe Kenny,eng ENG,DF,Everton,eng Premier League,20,1997,17.7,849,620,225,13,0,5,46,212,0,0,0,0,576,4,32,Matches,099e666f
1276,Ryan Kent,eng ENG,FWMF,Freiburg,de Bundesliga,20,1996,2.7,63,63,0,0,0,1,5,0,0,0,0,0,42,0,4,Matches,316de854
1277,Christophe Kerbrat,fr FRA,DF,Guingamp,fr Ligue 1,30,1986,36.9,1658,1560,90,82,1,37,4,8,0,0,0,0,1370,8,7,Matches,0515a4cb
1278,Franck Kessié,ci CIV,MF,Milan,it Serie A,20,1996,36.3,1802,1772,23,15,3,7,65,5,3,0,0,1,1479,7,37,Matches,05e19d6a
1279,Billy Ketkeophomphone,la LAO,MF,Angers,fr Ligue 1,27,1990,4.9,182,167,13,7,1,1,10,3,3,3,0,0,132,2,4,Matches,06f46837
1280,Driss Khalid,ma MAR,FW,Toulouse,fr Ligue 1,18,1999,0.3,8,8,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches,abccacf7
1281,Saîf-Eddine Khaoui,tn TUN,MFFW,Troyes,fr Ligue 1,22,1995,21.7,746,626,113,37,5,3,104,4,71,34,31,0,483,7,25,Matches,796b1c41
1282,Wahbi Khazri,tn TUN,FWMF,Rennes,fr Ligue 1,26,1991,21.3,729,634,90,32,9,20,64,9,37,21,8,2,528,5,22,Matches,2677a1de
1283,Rani Khedira,de GER,MFDF,Augsburg,de Bundesliga,23,1994,25.3,860,837,22,20,0,3,8,2,0,0,0,0,641,1,20,Matches,59e4b92e
1284,Sami Khedira,de GER,MF,Juventus,it Serie A,30,1987,21.2,978,950,24,12,1,8,12,11,0,0,0,0,842,4,22,Matches,38ac43d3
1285,Stefan Kießling,de GER,DFMF,Leverkusen,de Bundesliga,33,1984,0.9,27,27,0,0,1,0,0,0,0,0,0,0,15,0,0,Matches,c419e035
1286,Kike,es ESP,FW,Eibar,es La Liga,27,1989,27.3,709,676,31,1,0,2,15,4,0,0,0,0,501,2,33,Matches,e897d8ba
1287,Joshua Kimmich,de GER,DF,Bayern Munich,de Bundesliga,22,1995,25.9,2169,1882,282,53,1,24,212,160,69,13,49,2,1822,5,34,Matches,49296448
1288,Presnel Kimpembe,fr FRA,DF,Paris S-G,fr Ligue 1,21,1995,26.9,1875,1784,91,80,0,22,6,11,0,0,0,0,1783,0,11,Matches,aef6e670
1289,Andy King,wls WAL,MF,Leicester City,eng Premier League,28,1988,6.0,221,212,5,2,1,0,5,2,0,0,0,0,167,4,1,Matches,d790907f
1290,Andy King,wls WAL,MF,Swansea City,eng Premier League,28,1988,7.9,359,348,11,10,0,3,8,1,0,0,0,0,296,0,3,Matches,d790907f
1291,Joshua King,no NOR,FWMF,Bournemouth,eng Premier League,25,1992,27.3,730,692,34,2,5,1,34,3,0,0,0,0,514,4,33,Matches,43458538
1292,Simon Kjær,dk DEN,DF,Sevilla,es La Liga,28,1989,17.5,790,764,26,25,0,9,1,1,0,0,0,0,666,0,7,Matches,8b8a56ce
1293,Davy Klaassen,nl NED,MFFW,Everton,eng Premier League,24,1993,2.8,103,98,5,0,0,1,3,1,0,0,0,0,80,0,7,Matches,15fd5593
1294,Felix Klaus,de GER,MFFW,Hannover 96,de Bundesliga,24,1992,22.0,709,629,78,23,1,7,73,28,27,12,13,2,490,2,37,Matches,aeda1f69
1295,Ragnar Klavan,ee EST,DF,Liverpool,eng Premier League,31,1985,16.1,1218,1180,35,19,1,5,1,16,0,0,0,0,1097,3,4,Matches,008a6e6d
1296,Tim Kleindienst,de GER,FWDF,Freiburg,de Bundesliga,21,1995,12.6,369,357,9,0,0,0,9,1,0,0,0,0,203,3,25,Matches,258a6f4d
1297,Lukas Klostermann,de GER,DF,RB Leipzig,de Bundesliga,21,1996,24.3,1201,964,232,11,2,3,41,221,0,0,0,0,922,5,45,Matches,ca8033cb
1298,Lukas Klünter,de GER,DFFW,Köln,de Bundesliga,21,1996,14.8,526,423,102,4,0,3,53,97,0,0,0,0,347,1,37,Matches,92948149
1299,Robin Knoche,de GER,DF,Wolfsburg,de Bundesliga,25,1992,23.4,1432,1393,37,33,0,11,3,4,0,0,0,0,1215,2,8,Matches,6bd5cd5d
1300,Anthony Knockaert,fr FRA,MFFW,Brighton,eng Premier League,25,1991,26.9,1103,1026,70,23,4,12,98,14,27,12,12,0,851,7,25,Matches,6c679c6d
1301,Törles Knöll,de GER,MFFW,Hamburger SV,de Bundesliga,19,1997,0.2,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches,b883006f
1302,Robin Koch,de GER,MFDF,Freiburg,de Bundesliga,21,1996,21.3,977,963,13,13,0,5,1,0,0,0,0,0,758,1,18,Matches,ea6bc03a
1303,Kenan Kodro,ba BIH,FWDF,Mainz 05,de Bundesliga,23,1993,2.6,69,63,6,0,0,0,1,0,0,0,0,0,53,0,2,Matches,e82d2807
1304,Hervé Koffi,bf BFA,GK,Lille,fr Ligue 1,20,1996,4.0,125,79,44,9,0,0,0,0,0,0,0,0,88,2,0,Matches,faf873a7
1305,Dominik Kohr,de GER,MF,Leverkusen,de Bundesliga,23,1994,18.5,946,912,31,30,4,9,3,1,0,0,0,0,780,3,25,Matches,0fbecd11
1306,Seybou Koita,ne NIG,FW,Amiens,fr Ligue 1,23,1994,2.4,58,53,5,0,0,1,2,0,0,0,0,0,40,0,3,Matches,d3b58e33
1307,Koke,es ESP,MF,Atlético Madrid,es La Liga,25,1992,30.6,2153,1953,180,73,15,23,140,4,97,33,45,0,1729,20,36,Matches,55126f3b
1308,Aleksandar Kolarov,rs SRB,DF,Roma,it Serie A,31,1985,34.0,2624,2078,537,99,0,34,295,332,106,52,44,0,1996,9,83,Matches,eda40760
1309,Sead Kolašinac,ba BIH,DF,Arsenal,eng Premier League,24,1993,23.9,1515,1294,219,16,0,4,42,203,0,0,0,0,1203,2,38,Matches,3935e52e
1310,Vincent Kompany,be BEL,DF,Manchester City,eng Premier League,31,1986,15.5,1434,1416,17,13,1,9,0,4,0,0,0,0,1327,1,1,Matches,d2bff301
1311,Ibrahima Konaté,fr FRA,DF,RB Leipzig,de Bundesliga,18,1999,13.6,651,631,20,20,1,2,0,0,0,0,0,0,527,0,2,Matches,5ed9b537
