,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Outcomes,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,-9999
88,Nícolas Andrade,br BRA,GK,Hellas Verona,it Serie A,29,1988,36.0,1444,909,528,129,0,7,0,0,0,0,0,0,868,7,0,Matches,326d09ef
89,Benjamin André,fr FRA,MF,Rennes,fr Ligue 1,26,1990,33.5,1900,1841,47,32,10,25,21,11,0,0,0,0,1482,12,39,Matches,ef9c1c95
90,Marco Andreolli,it ITA,DF,Cagliari,it Serie A,31,1986,20.3,862,809,49,37,0,8,4,1,0,0,0,0,693,4,9,Matches,13d820de
91,Yoann Andreu,fr FRA,DF,Angers,fr Ligue 1,28,1989,23.0,1216,951,261,8,0,5,59,253,0,0,0,0,946,4,29,Matches,872cd68c
92,Miguel Ángel Guerrero,es ESP,FW,Leganés,es La Liga,27,1990,16.0,374,336,35,0,1,2,1,0,0,0,0,0,283,3,5,Matches,b35db3f6
93,José Ángel,es ESP,DF,Eibar,es La Liga,27,1989,27.0,1645,1223,411,66,0,33,226,304,41,5,36,0,1003,11,57,Matches,3024e383
94,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,33,1984,8.5,361,267,94,24,0,2,0,0,0,0,0,0,274,0,0,Matches,011d8c56
95,Miguel Ángel Rubio,es ESP,DF,Getafe,es La Liga,19,1998,0.3,10,10,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches,56cafd0a
96,Gabriele Angella,it ITA,DF,Udinese,it Serie A,28,1989,9.9,503,472,30,18,0,10,2,12,0,0,0,0,411,1,2,Matches,0c971997
97,Cristian Ansaldi,ar ARG,DF,Torino,it Serie A,30,1986,20.8,1003,797,202,22,0,36,78,176,4,0,3,0,712,4,30,Matches,bbafc0c4
98,Luca Antei,it ITA,DF,Benevento,it Serie A,25,1992,6.6,365,341,24,20,0,3,1,4,0,0,0,0,316,0,1,Matches,97c9bce3
99,Mirco Antenucci,it ITA,FW,SPAL,it Serie A,32,1984,28.6,637,605,27,2,1,6,33,4,0,0,0,0,476,5,20,Matches,43a2e16c
100,Waldemar Anton,de GER,DFMF,Hannover 96,de Bundesliga,21,1996,25.3,1217,1154,60,58,2,9,8,2,0,0,0,0,966,3,26,Matches,5e66fa06
101,Luca Antonelli,it ITA,DFFW,Milan,it Serie A,30,1987,1.6,94,86,8,2,0,0,0,6,0,0,0,0,77,0,0,Matches,40f0ed6c
102,Michail Antonio,jm JAM,FWMF,West Ham,eng Premier League,27,1990,15.0,494,437,49,3,3,8,55,46,0,0,0,0,296,8,25,Matches,ac05f970
103,Mirko Antonucci,it ITA,FW,Roma,it Serie A,18,1999,0.3,16,15,1,0,0,0,5,1,0,0,0,0,12,0,1,Matches,91976866
104,Vitorino Antunes,pt POR,DF,Getafe,es La Liga,30,1987,31.1,1366,934,423,53,3,12,149,318,52,12,22,1,862,9,37,Matches,3e4f735d
105,Dennis Aogo,de GER,MFDF,Stuttgart,de Bundesliga,30,1987,21.7,1203,1002,198,51,0,10,104,97,50,19,29,0,971,3,18,Matches,c311243f
106,Houssem Aouar,fr FRA,MFFW,Lyon,fr Ligue 1,19,1998,27.0,1571,1532,35,25,7,7,14,2,8,5,2,0,1331,4,28,Matches,a5db0bec
107,Alberto Aquilani,it ITA,MF,Las Palmas,es La Liga,33,1984,14.4,1008,974,31,29,4,35,7,2,0,0,0,0,838,3,13,Matches,ad340e17
108,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,21,1995,23.6,629,618,5,4,3,30,6,0,0,0,0,0,435,6,18,Matches,58afe001
109,Guilherme Arana,br BRA,DF,Sevilla,es La Liga,20,1997,2.1,123,102,21,1,0,0,3,20,0,0,0,0,105,0,2,Matches,2b15a82a
110,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,28,1989,25.6,1759,1662,91,76,3,40,22,12,3,2,1,0,1492,6,28,Matches,56413b1f
111,Luiz Araújo,br BRA,FWMF,Lille,fr Ligue 1,21,1996,22.4,755,711,40,10,9,15,69,8,22,12,7,0,535,4,27,Matches,fa18c72e
112,Sergio Araujo,ar ARG,MFFW,Las Palmas,es La Liga,25,1992,0.4,21,19,2,0,0,0,0,1,0,0,0,0,20,0,1,Matches,080ac8d8
113,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,30,1987,26.8,1559,1447,101,59,0,88,11,40,2,0,1,0,1235,11,16,Matches,850c0a0d
114,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,24,1993,34.0,899,608,291,51,0,0,0,0,0,0,0,0,833,0,0,Matches,2f965a72
115,Scott Arfield,ca CAN,MFFW,Burnley,eng Premier League,28,1988,14.8,367,357,5,0,1,1,8,1,1,0,1,0,247,5,16,Matches,b1313ec4
116,Samuel Armenteros,se SWE,FW,Benevento,it Serie A,27,1990,4.8,85,70,15,0,0,0,1,0,0,0,0,0,63,0,0,Matches,9c8f641a
117,Yoël Armougom,fr FRA,DFMF,Caen,fr Ligue 1,19,1998,1.5,84,56,28,1,0,1,9,26,1,0,1,0,52,0,8,Matches,9dd5da03
118,José Arnaiz,es ESP,MF,Barcelona,es La Liga,22,1995,0.1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches,46e07328
119,Marko Arnautović,at AUT,FWMF,West Ham,eng Premier League,28,1989,25.7,757,722,34,11,9,2,61,11,3,1,2,0,505,1,39,Matches,00459419
120,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,23,1994,27.3,1451,1267,176,104,2,34,114,3,63,31,26,2,1144,8,29,Matches,86e119e0
121,Jann-Fiete Arp,de GER,FWMF,Hamburger SV,de Bundesliga,17,2000,9.4,151,135,16,0,0,0,2,0,1,0,0,0,87,0,7,Matches,c21fb312
122,Alejandro Arribas,es ESP,DF,La Coruña,es La Liga,28,1989,3.0,118,118,0,0,0,0,0,0,0,0,0,0,99,0,0,Matches,cc29324e
123,Kepa Arrizabalaga,es ESP,GK,Athletic Club,es La Liga,22,1994,30.0,1056,748,301,95,0,0,0,0,0,0,0,0,700,7,2,Matches,28d596a0
124,Harry Arter,ie IRL,MF,Bournemouth,eng Premier League,27,1989,10.7,592,563,29,27,1,6,5,1,1,1,0,0,513,0,6,Matches,2f4c5a52
125,Aythami Artiles,es ESP,DF,Las Palmas,es La Liga,31,1986,2.0,95,83,12,12,0,0,0,0,0,0,0,0,81,0,0,Matches,01ae64cd
126,Kwadwo Asamoah,gh GHA,DF,Juventus,it Serie A,28,1988,17.4,1295,1147,144,18,0,14,31,126,0,0,0,0,1132,4,22,Matches,089550f5
127,Takuma Asano,jp JPN,FWMF,Stuttgart,de Bundesliga,22,1994,8.0,179,174,4,1,2,0,11,0,0,0,0,0,131,1,13,Matches,13ddc856
128,Santiago Ascacíbar,ar ARG,MF,Stuttgart,de Bundesliga,20,1997,26.5,1133,1112,17,13,0,6,7,4,0,0,0,0,942,4,24,Matches,e26fcca3
129,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,28,1989,23.0,657,390,264,64,0,1,0,0,0,0,0,0,406,3,0,Matches,9f0ea33f
130,Marco Asensio,es ESP,FWMF,Real Madrid,es La Liga,21,1996,20.5,1264,1172,87,16,9,21,106,19,50,12,17,2,1062,5,31,Matches,45af8a54
131,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,29,1987,32.6,1316,1236,69,20,9,18,62,9,29,7,3,0,992,11,47,Matches,7dcf86f6
132,Benoît Assou-Ekotto,cm CMR,DF,Metz,fr Ligue 1,33,1984,11.7,636,500,132,26,0,21,21,106,0,0,0,0,472,4,11,Matches,a557e6b0
133,Simon Asta,de GER,MF,Augsburg,de Bundesliga,16,2001,0.1,5,4,1,0,0,0,0,1,0,0,0,0,4,0,0,Matches,dfc85b89
134,Davide Astori,it ITA,DF,Fiorentina,it Serie A,30,1987,25.0,1534,1465,64,60,0,15,18,4,0,0,0,0,1319,5,9,Matches,1522dab2
135,Christian Atsu,gh GHA,FWMF,Newcastle Utd,eng Premier League,25,1992,19.8,513,497,15,4,1,1,57,7,4,1,2,0,359,1,37,Matches,8816329f
136,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,28,1989,11.7,337,312,24,0,1,1,16,3,0,0,0,0,225,1,14,Matches,d5dd5f1f
137,Pierre-Emerick Aubameyang,ga GAB,FW,Dortmund,de Bundesliga,28,1989,15.7,341,301,38,0,0,0,23,1,0,0,0,0,247,2,8,Matches,d5dd5f1f
138,Jean-Kévin Augustin,fr FRA,FW,RB Leipzig,de Bundesliga,20,1997,14.1,299,281,17,4,1,1,12,1,1,0,0,0,229,1,11,Matches,97bfa797
139,Ludwig Augustinsson,se SWE,DFFW,Werder Bremen,de Bundesliga,23,1994,28.1,1450,1150,294,32,0,6,117,248,14,4,8,1,1103,6,68,Matches,9fec8860
140,Yann Aurel Bisseck,de GER,DFMF,Köln,de Bundesliga,16,2000,1.7,82,80,2,2,0,1,1,0,0,0,0,0,75,0,0,Matches,3963c25b
