,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
157,Brandon Baiye,be BEL,MF,Clermont Foot,fr Ligue 1,21-337,2000,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7e3e825e
158,Stefan Bajcetic,es ESP,MF,Liverpool,eng Premier League,18-038,2004,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,32e8417f
159,Nedim Bajrami,al ALB,MFFW,Empoli,it Serie A,23-274,1999,9.0,1,19,5,26.3,2.10,0.55,0.05,0.20,24.5,5,0,0,1.2,1.2,0.06,-0.2,-0.2,Matches,f42d6c13
160,Cédric Bakambu,cd COD,MF,Marseille,fr Ligue 1,31-232,1991,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0af4dcf0
161,Mitchel Bakker,nl NED,MFDF,Leverkusen,de Bundesliga,22-162,2000,8.5,1,7,3,42.9,0.82,0.35,0.14,0.33,23.7,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches,a8567629
162,Ridle Baku,de GER,DF,Wolfsburg,de Bundesliga,24-235,1998,14.2,3,17,6,35.3,1.20,0.42,0.18,0.50,20.1,0,0,0,1.3,1.3,0.08,+1.7,+1.7,Matches,442b56fa
163,Tommaso Baldanzi,it ITA,MF,Empoli,it Serie A,19-251,2003,4.0,2,6,3,50.0,1.48,0.74,0.33,0.67,18.0,0,0,0,0.7,0.7,0.11,+1.3,+1.3,Matches,102e2599
164,Alejandro Balde,es ESP,DF,Barcelona,es La Liga,19-042,2003,10.8,0,6,2,33.3,0.56,0.19,0.00,0.00,22.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,5ccc9672
165,Thierno Balde,fr FRA,DF,Troyes,fr Ligue 1,20-172,2002,8.8,0,3,0,0.0,0.34,0.00,0.00,,14.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,3975195f
166,Carlos Baleba,cm CMR,MF,Lille,fr Ligue 1,18-330,2004,0.7,0,1,0,0.0,1.36,0.00,0.00,,26.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,a1390d2f
167,Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,34-273,1988,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,1fe67e86
168,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,23-307,1999,13.3,0,1,0,0.0,0.07,0.00,0.00,,8.5,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches,7c3ed041
169,Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,30-332,1992,14.0,0,4,1,25.0,0.29,0.07,0.00,0.00,17.7,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,cee88597
170,Fodé Ballo-Touré,sn SEN,DF,Milan,it Serie A,25-330,1997,2.2,1,1,1,100.0,0.46,0.46,1.00,1.00,8.6,0,0,0,0.1,0.1,0.14,+0.9,+0.9,Matches,f449640d
171,Folarin Balogun,eng ENG,FW,Reims,fr Ligue 1,21-149,2001,12.0,8,36,14,38.9,3.01,1.17,0.14,0.36,15.4,1,3,3,8.0,5.6,0.16,0.0,-0.6,Matches,31822f8c
172,Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,32-218,1990,4.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7fecbcdb
173,Jonathan Bamba,fr FRA,FW,Lille,fr Ligue 1,26-248,1996,13.9,4,30,12,40.0,2.15,0.86,0.13,0.33,16.5,0,0,0,3.1,3.1,0.11,+0.9,+0.9,Matches,b2bd0f6c
174,Patrick Bamford,eng ENG,FW,Leeds United,eng Premier League,29-085,1993,4.8,0,16,8,50.0,3.36,1.68,0.00,0.00,14.3,0,0,1,4.1,3.3,0.21,-4.1,-3.3,Matches,93feac6e
175,Lameck Banda,zm ZAM,FWMF,Lecce,it Serie A,21-304,2001,9.9,1,16,6,37.5,1.62,0.61,0.06,0.17,20.0,0,0,0,0.7,0.7,0.04,+0.3,+0.3,Matches,8a6de8c7
176,Filippo Bandinelli,it ITA,MF,Empoli,it Serie A,27-245,1995,11.7,2,13,4,30.8,1.11,0.34,0.15,0.50,21.7,0,0,0,1.2,1.2,0.10,+0.8,+0.8,Matches,d44360be
177,Léo Baptistão,br BRA,FWMF,Almería,es La Liga,30-095,1992,6.3,2,15,5,33.3,2.39,0.80,0.13,0.40,14.0,0,0,0,1.3,1.3,0.09,+0.7,+0.7,Matches,35f6db55
178,Shandon Baptiste,gd GRN,MF,Brentford,eng Premier League,24-235,1998,4.8,0,2,1,50.0,0.42,0.21,0.00,0.00,16.9,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches,2886c9b5
179,Antonín Barák,cz CZE,MF,Hellas Verona,it Serie A,27-361,1994,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,01efac19
180,Antonín Barák,cz CZE,MF,Fiorentina,it Serie A,27-361,1994,7.8,1,9,1,11.1,1.15,0.13,0.11,1.00,20.6,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches,01efac19
181,Andrea Barberis,it ITA,MF,Monza,it Serie A,28-353,1993,3.5,0,2,0,0.0,0.57,0.00,0.00,,26.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,32ebfe1e
182,Bradley Barcola,fr FRA,FWMF,Lyon,fr Ligue 1,20-088,2002,0.9,0,1,0,0.0,1.11,0.00,0.00,,8.5,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,a0d55a09
